yday,2011,2012,2013,2014,2015,2016,2017
126,2.3611112,2.1180556,2.3726852,0.6481481,1.5046296,2.3032408,1.1574074
127,3.5300925,2.1296296,2.3726852,0.625,1.5046296,2.3032408,1.1805556
128,3.726852,2.1296296,2.3495371,0.6365741,1.4930556,2.2916667,1.1574074
129,3.6458333,2.1296296,2.3611112,0.6365741,1.4699074,2.3263888,1.7592592
130,3.6111112,2.1296296,2.3263888,0.6134259,1.4699074,2.3379629,1.9001157
131,3.5995371,2.0949075,1.8171296,0.625,1.5277778,2.3379629,2.4074075
132,3.5879629,1.550926,1.7824074,0.6365741,1.4930556,2.2916667,2.3958333
133,4.6875,1.5856482,1.7708334,0.625,1.5046296,2.3495371,2.3842592
134,4.9421296,1.5856482,1.7824074,0.625,1.5046296,2.3032408,2.3842592
135,4.872685,1.6435186,1.7708334,0.6134259,1.5046296,2.3263888,2.3958333
136,4.7569447,1.5856482,1.7708334,0.625,1.5162038,2.3032408,2.3495371
137,0.1736111,1.5972222,1.7592592,0.6018519,1.550926,2.3263888,2.1180556
138,0,1.5972222,1.1574074,0.625,1.412037,2.3263888,2.3148148
139,0,1.5856482,1.1458334,0.6134259,1.4930556,2.3148148,2.3032408
140,0,0.4513889,1.1574074,2.3263888,1.4814814,2.3148148,2.3379629
141,0,0.4050926,1.8402778,2.3263888,1.4930556,2.3032408,2.2800925
142,0,0.41666666,2.4537036,2.3611112,1.4930556,2.2569444,2.3842592
143,0,0.2199074,2.0833333,2.3379629,1.4583334,2.2916667,0.2199074
144,0,0.9837963,2.0833333,1.1458334,2.0833333,2.3495371,0
145,0,0.9837963,1.9791666,1.1574074,2.1296296,2.3032408,0
146,0,0.9953704,2.0138888,1.1921296,2.0717592,2.3148148,0
147,0,0.9722222,2.0138888,1.1689814,2.0717592,1.1805556,2.2569444
148,0,0.9953704,2.0023148,1.1689814,2.0833333,1.1458334,2.2685184
149,0,1.0069444,1.9791666,1.1574074,2.0601852,1.1574074,2.3032408
150,0,0.9953704,1.9675926,1.1458334,2.0833333,1.1458334,2.2916667
151,0,0.9837963,1.9675926,1.1921296,2.0601852,1.1574074,1.7476852
152,0,0.9953704,1.238426,1.1689814,2.0601852,0,1.261574
