!Date	Height (m)
1999-08-27 00:00:00	26.448
1999-08-28 00:00:00	26.42
1999-08-29 00:00:00	26.48
1999-08-30 00:00:00	26.48
1999-08-31 00:00:00	26.46
1999-09-01 00:00:00	26.46
1999-09-02 00:00:00	26.44
1999-09-03 00:00:00	26.3855
1999-09-04 00:00:00	26.448
1999-09-05 00:00:00	26.948
1999-09-06 00:00:00	27.448
1999-09-07 00:00:00	27.6
1999-09-08 00:00:00	27.72
1999-09-09 00:00:00	27.88
1999-09-10 00:00:00	28.06
1999-09-11 00:00:00	28.198
1999-09-12 00:00:00	28.448
1999-09-13 00:00:00	28.6
1999-09-14 00:00:00	28.698
1999-09-15 00:00:00	28.7605
1999-09-16 00:00:00	28.948
1999-09-17 00:00:00	30.18
1999-09-18 00:00:00	30.2605
1999-09-19 00:00:00	31.3
1999-09-20 00:00:00	31.448
1999-09-21 00:00:00	31.52
1999-09-22 00:00:00	31.623
1999-09-23 00:00:00	31.698
1999-09-24 00:00:00	31.823
1999-09-25 00:00:00	32.06
1999-09-26 00:00:00	32.14
1999-09-27 00:00:00	32.2605
1999-09-28 00:00:00	32.28
1999-09-29 00:00:00	32.448
1999-09-30 00:00:00	32.46
1999-10-01 00:00:00	32.54
1999-10-02 00:00:00	32.6355
1999-10-03 00:00:00	32.76
1999-10-04 00:00:00	32.86
1999-10-05 00:00:00	32.98
1999-10-06 00:00:00	33.02
1999-10-07 00:00:00	33.12
1999-10-08 00:00:00	33.18
1999-10-09 00:00:00	33.198
1999-10-10 00:00:00	33.448
1999-10-11 00:00:00	33.54
1999-10-12 00:00:00	33.68
1999-10-13 00:00:00	33.78
1999-10-14 00:00:00	33.84
1999-10-15 00:00:00	33.84
1999-10-16 00:00:00	33.698
1999-10-17 00:00:00	33.92
1999-10-18 00:00:00	33.94
1999-10-19 00:00:00	33.94
1999-10-20 00:00:00	33.698
1999-10-21 00:00:00	33.698
1999-10-22 00:00:00	33.698
1999-10-23 00:00:00	34.06
1999-10-24 00:00:00	34.06
1999-10-25 00:00:00	34.1
1999-10-26 00:00:00	34.12
1999-10-27 00:00:00	34.14
1999-10-28 00:00:00	34.12
1999-10-29 00:00:00	34.1
1999-10-30 00:00:00	34.06
1999-10-31 00:00:00	34
1999-11-01 00:00:00	33.96
1999-11-02 00:00:00	33.9
1999-11-03 00:00:00	33.84
1999-11-04 00:00:00	33.78
1999-11-05 00:00:00	33.78
1999-11-06 00:00:00	33.7605
1999-11-07 00:00:00	33.802
1999-11-08 00:00:00	33.8
1999-11-09 00:00:00	33.823
1999-11-10 00:00:00	33.84
1999-11-11 00:00:00	33.84
1999-11-12 00:00:00	33.84
1999-11-13 00:00:00	33.8855
1999-11-14 00:00:00	33.82
1999-11-15 00:00:00	33.792
1999-11-16 00:00:00	33.729
1999-11-17 00:00:00	33.729
1999-11-18 00:00:00	33.865
1999-11-19 00:00:00	33.82
1999-11-20 00:00:00	33.82
1999-11-21 00:00:00	33.82
1999-11-22 00:00:00	33.8855
1999-11-23 00:00:00	33.8
1999-11-24 00:00:00	33.78
1999-11-25 00:00:00	33.82
1999-11-26 00:00:00	33.9
1999-11-27 00:00:00	33.9
1999-11-28 00:00:00	33.88
1999-11-29 00:00:00	33.84
1999-11-30 00:00:00	33.74
1999-12-01 00:00:00	33.58
1999-12-02 00:00:00	33.36
1999-12-03 00:00:00	33.16
1999-12-04 00:00:00	32.94
1999-12-05 00:00:00	32.79
1999-12-06 00:00:00	32.64
1999-12-07 00:00:00	32.54
1999-12-08 00:00:00	32.42
1999-12-09 00:00:00	32.46
1999-12-10 00:00:00	32.38
1999-12-11 00:00:00	32.26
1999-12-12 00:00:00	32.12
1999-12-13 00:00:00	32
1999-12-14 00:00:00	31.98
1999-12-15 00:00:00	31.96
1999-12-16 00:00:00	31.84
1999-12-17 00:00:00	31.74
1999-12-18 00:00:00	31.64
1999-12-19 00:00:00	31.58
1999-12-20 00:00:00	31.54
1999-12-21 00:00:00	31.46
1999-12-22 00:00:00	31.26
1999-12-23 00:00:00	31.02
1999-12-24 00:00:00	30.88
1999-12-25 00:00:00	30.78
1999-12-26 00:00:00	30.68
1999-12-27 00:00:00	30.6
1999-12-28 00:00:00	30.5
1999-12-29 00:00:00	30.4
1999-12-30 00:00:00	30.3
1999-12-31 00:00:00	30.18
2000-01-01 00:00:00	30.1
2000-01-02 00:00:00	30.02
2000-01-03 00:00:00	29.94
2000-01-04 00:00:00	29.92
2000-01-05 00:00:00	29.88
2000-01-06 00:00:00	29.84
2000-01-07 00:00:00	29.8
2000-01-08 00:00:00	29.78
2000-01-09 00:00:00	29.72
2000-01-10 00:00:00	29.68
2000-01-11 00:00:00	29.64
2000-01-12 00:00:00	29.6
2000-01-13 00:00:00	29.46
2000-01-14 00:00:00	29.28
2000-01-15 00:00:00	28.92
2000-01-16 00:00:00	28.66
2000-01-17 00:00:00	28.4
2000-01-18 00:00:00	28.12
2000-01-19 00:00:00	28.14
2000-01-20 00:00:00	28.24
2000-01-21 00:00:00	28.2
2000-01-22 00:00:00	27.98
2000-01-23 00:00:00	27.78
2000-01-24 00:00:00	27.58
2000-01-25 00:00:00	27.46
2000-01-26 00:00:00	27.42
2000-01-27 00:00:00	27.38
2000-01-28 00:00:00	27.28
2000-01-29 00:00:00	27.24
2000-01-30 00:00:00	27.2
2000-01-31 00:00:00	27.18
2000-02-01 00:00:00	26.94
2000-02-02 00:00:00	26.7
2000-02-03 00:00:00	26.32
2000-02-04 00:00:00	25.98
2000-02-05 00:00:00	25.62
2000-02-06 00:00:00	25.24
2000-02-07 00:00:00	24.9
2000-02-08 00:00:00	24.6
2000-02-09 00:00:00	24.34
2000-02-10 00:00:00	24.04
2000-02-11 00:00:00	23.76
2000-02-12 00:00:00	23.62
2000-02-13 00:00:00	23.3
2000-02-14 00:00:00	23.3
2000-02-15 00:00:00	23.24
2000-02-16 00:00:00	23.02
2000-02-17 00:00:00	22.76
2000-02-18 00:00:00	22.42
2000-02-19 00:00:00	22.16
2000-02-20 00:00:00	21.84
2000-02-21 00:00:00	21.58
2000-02-22 00:00:00	22.02
2000-02-23 00:00:00	22.14
2000-02-24 00:00:00	22.14
2000-02-25 00:00:00	22.18
2000-02-26 00:00:00	22.08
2000-02-27 00:00:00	21.96
2000-02-28 00:00:00	21.82
2000-02-29 00:00:00	21.68
2000-03-01 00:00:00	21.36
2000-03-02 00:00:00	21
2000-03-03 00:00:00	20.62
2000-03-04 00:00:00	20.42
2000-03-05 00:00:00	20.22
2000-03-06 00:00:00	20.04
2000-03-07 00:00:00	19.84
2000-03-08 00:00:00	19.64
2000-03-09 00:00:00	19.46
2000-03-10 00:00:00	19.36
2000-03-11 00:00:00	19.26
2000-03-12 00:00:00	19.16
2000-03-13 00:00:00	19.08
2000-03-14 00:00:00	18.98
2000-03-15 00:00:00	18.96
2000-03-16 00:00:00	18.86
2000-03-17 00:00:00	18.74
2000-03-18 00:00:00	18.7
2000-03-19 00:00:00	18.5
2000-03-20 00:00:00	18.4
2000-03-21 00:00:00	18.22
2000-03-22 00:00:00	18.06
2000-03-23 00:00:00	18.06
2000-03-24 00:00:00	18.04
2000-03-25 00:00:00	18
2000-03-26 00:00:00	17.9
2000-03-27 00:00:00	17.94
2000-03-28 00:00:00	17.9
2000-03-29 00:00:00	17.86
2000-03-30 00:00:00	17.82
2000-03-31 00:00:00	17.76
2000-04-01 00:00:00	17.7
2000-04-02 00:00:00	17.64
2000-04-03 00:00:00	17.58
2000-04-04 00:00:00	17.52
2000-04-05 00:00:00	17.48
2000-04-06 00:00:00	17.44
2000-04-07 00:00:00	17.36
2000-04-08 00:00:00	17.18
2000-04-09 00:00:00	17.19
2000-04-10 00:00:00	17.24
2000-04-11 00:00:00	17.24
2000-04-12 00:00:00	17.2
2000-04-13 00:00:00	17.14
2000-04-14 00:00:00	17.1
2000-04-15 00:00:00	17.1
2000-04-16 00:00:00	17.1
2000-04-17 00:00:00	17.14
2000-04-18 00:00:00	17.22
2000-04-19 00:00:00	17.24
2000-04-20 00:00:00	17.24
2000-04-21 00:00:00	17.18
2000-04-22 00:00:00	17.08
2000-04-23 00:00:00	16.98
2000-04-24 00:00:00	16.86
2000-04-25 00:00:00	16.72
2000-04-26 00:00:00	16.58
2000-04-27 00:00:00	16.42
2000-04-28 00:00:00	15.96
2000-04-29 00:00:00	15.48
2000-04-30 00:00:00	15.12
2000-05-01 00:00:00	14.86
2000-05-02 00:00:00	14.4
2000-05-03 00:00:00	13.88
2000-05-04 00:00:00	13.64
2000-05-05 00:00:00	13.58
2000-05-06 00:00:00	13.5
2000-05-07 00:00:00	13.42
2000-05-08 00:00:00	13.36
2000-05-09 00:00:00	13.26
2000-05-10 00:00:00	13.2
2000-05-11 00:00:00	13.12
2000-05-12 00:00:00	13.12
2000-05-13 00:00:00	13.3
2000-05-14 00:00:00	13.92
2000-05-15 00:00:00	14.3
2000-05-16 00:00:00	14.54
2000-05-17 00:00:00	14.68
2000-05-18 00:00:00	14.7
2000-05-19 00:00:00	14.64
2000-05-20 00:00:00	14.53
2000-05-21 00:00:00	14.48
2000-05-22 00:00:00	14.3
2000-05-23 00:00:00	14.16
2000-05-24 00:00:00	14
2000-05-25 00:00:00	13.94
2000-05-26 00:00:00	13.9
2000-05-27 00:00:00	14.1
2000-05-28 00:00:00	14.68
2000-05-29 00:00:00	14.94
2000-05-30 00:00:00	15.06
2000-05-31 00:00:00	15.14
2000-06-01 00:00:00	15.16
2000-06-02 00:00:00	15.12
2000-06-03 00:00:00	15.06
2000-06-04 00:00:00	15
2000-06-05 00:00:00	15.04
2000-06-06 00:00:00	15.16
2000-06-07 00:00:00	15.2
2000-06-08 00:00:00	15.16
2000-06-09 00:00:00	15.1
2000-06-10 00:00:00	15.1
2000-06-11 00:00:00	14.88
2000-06-12 00:00:00	14.7
2000-06-13 00:00:00	14.52
2000-06-14 00:00:00	14.24
2000-06-15 00:00:00	13.92
2000-06-16 00:00:00	13.62
2000-06-17 00:00:00	13.37
2000-06-18 00:00:00	13.14
2000-06-19 00:00:00	12.92
2000-06-20 00:00:00	12.92
2000-06-21 00:00:00	12.84
2000-06-22 00:00:00	12.78
2000-06-23 00:00:00	15.2
2000-06-24 00:00:00	15.88
2000-06-25 00:00:00	16.22
2000-06-26 00:00:00	16.42
2000-06-27 00:00:00	16.46
2000-06-28 00:00:00	17.6
2000-06-29 00:00:00	19.66
2000-06-30 00:00:00	20.5
2000-07-01 00:00:00	20.9
2000-07-02 00:00:00	21.14
2000-07-03 00:00:00	21.32
2000-07-04 00:00:00	21.46
2000-07-05 00:00:00	21.58
2000-07-06 00:00:00	21.72
2000-07-07 00:00:00	21.92
2000-07-08 00:00:00	22.08
2000-07-09 00:00:00	22.26
2000-07-10 00:00:00	22.34
2000-07-11 00:00:00	22.6
2000-07-12 00:00:00	22.7
2000-07-13 00:00:00	22.8
2000-07-14 00:00:00	22.8
2000-07-15 00:00:00	22.84
2000-07-16 00:00:00	22.91
2000-07-17 00:00:00	22.94
2000-07-18 00:00:00	22.92
2000-07-19 00:00:00	23
2000-07-20 00:00:00	24.5
2000-07-21 00:00:00	25.8
2000-07-22 00:00:00	27.18
2000-07-23 00:00:00	27.48
2000-07-24 00:00:00	27.72
2000-07-25 00:00:00	27.96
2000-07-26 00:00:00	28.66
2000-07-27 00:00:00	29.52
2000-07-28 00:00:00	30.14
2000-07-29 00:00:00	30.42
2000-07-30 00:00:00	30.56
2000-07-31 00:00:00	30.66
2000-08-01 00:00:00	30.72
2000-08-02 00:00:00	30.76
2000-08-03 00:00:00	30.76
2000-08-04 00:00:00	30.76
2000-08-05 00:00:00	30.74
2000-08-06 00:00:00	30.72
2000-08-07 00:00:00	30.7
2000-08-08 00:00:00	30.7
2000-08-09 00:00:00	30.72
2000-08-10 00:00:00	30.78
2000-08-11 00:00:00	30.88
2000-08-12 00:00:00	30.91
2000-08-13 00:00:00	30.92
2000-08-14 00:00:00	30.92
2000-08-15 00:00:00	30.94
2000-08-16 00:00:00	31.14
2000-08-17 00:00:00	31.2
2000-08-18 00:00:00	31.22
2000-08-19 00:00:00	31.22
2000-08-20 00:00:00	31.22
2000-08-21 00:00:00	31.2
2000-08-22 00:00:00	31.3
2000-08-23 00:00:00	32.36
2000-08-24 00:00:00	33.66
2000-08-25 00:00:00	34.06
2000-08-26 00:00:00	34.4
2000-08-27 00:00:00	34.9
2000-08-28 00:00:00	35.2
2000-08-29 00:00:00	35.78
2000-08-30 00:00:00	36
2000-08-31 00:00:00	36.16
2000-09-01 00:00:00	36.28
2000-09-02 00:00:00	37.18
2000-09-03 00:00:00	37.8
2000-09-04 00:00:00	38.2
2000-09-05 00:00:00	38.38
2000-09-06 00:00:00	38.5
2000-09-07 00:00:00	38.64
2000-09-08 00:00:00	39.76
2000-09-09 00:00:00	41.49
2000-09-10 00:00:00	41.04
2000-09-11 00:00:00	41.24
2000-09-12 00:00:00	41.36
2000-09-13 00:00:00	41.36
2000-09-14 00:00:00	41.28
2000-09-15 00:00:00	41.28
2000-09-16 00:00:00	41.32
2000-09-17 00:00:00	41.43
2000-09-18 00:00:00	41.38
2000-09-19 00:00:00	41.36
2000-09-20 00:00:00	41.34
2000-09-21 00:00:00	41.32
2000-09-22 00:00:00	41.32
2000-09-23 00:00:00	41.32
2000-09-24 00:00:00	41.32
2000-09-25 00:00:00	41.3
2000-09-26 00:00:00	41.3
2000-09-27 00:00:00	41.28
2000-09-28 00:00:00	41.28
2000-09-29 00:00:00	41.28
2000-09-30 00:00:00	41.28
2000-10-01 00:00:00	41.32
2000-10-02 00:00:00	41.34
2000-10-03 00:00:00	41.36
2000-10-04 00:00:00	41.36
2000-10-05 00:00:00	41.38
2000-10-06 00:00:00	41.36
2000-10-07 00:00:00	41.32
2000-10-08 00:00:00	41.29
2000-10-09 00:00:00	41.26
2000-10-10 00:00:00	41.24
2000-10-11 00:00:00	41.2
2000-10-12 00:00:00	41.16
2000-10-13 00:00:00	41.12
2000-10-14 00:00:00	41.1
2000-10-15 00:00:00	41.06
2000-10-16 00:00:00	41.04
2000-10-17 00:00:00	41
2000-10-18 00:00:00	41.04
2000-10-19 00:00:00	41.02
2000-10-20 00:00:00	41.22
2000-10-21 00:00:00	41.216
2000-10-22 00:00:00	41.3
2000-10-23 00:00:00	41.3
2000-10-24 00:00:00	41.28
2000-10-25 00:00:00	41.24
2000-10-26 00:00:00	41.18
2000-10-27 00:00:00	41.14
2000-10-28 00:00:00	41.08
2000-10-29 00:00:00	41.02
2000-10-30 00:00:00	41.02
2000-10-31 00:00:00	41.04
2000-11-01 00:00:00	41.06
2000-11-02 00:00:00	41.08
2000-11-03 00:00:00	41.1
2000-11-04 00:00:00	41.06
2000-11-05 00:00:00	41.02
2000-11-06 00:00:00	40.96
2000-11-07 00:00:00	40.9
2000-11-08 00:00:00	40.86
2000-11-09 00:00:00	40.8
2000-11-10 00:00:00	40.76
2000-11-11 00:00:00	40.7
2000-11-12 00:00:00	40.64
2000-11-13 00:00:00	40.6
2000-11-14 00:00:00	40.6
2000-11-15 00:00:00	40.48
2000-11-16 00:00:00	40.42
2000-11-17 00:00:00	40.34
2000-11-18 00:00:00	40.26
2000-11-19 00:00:00	40.18
2000-11-20 00:00:00	40.1
2000-11-21 00:00:00	40
2000-11-22 00:00:00	39.94
2000-11-23 00:00:00	39.82
2000-11-24 00:00:00	39.7
2000-11-25 00:00:00	39.57
2000-11-26 00:00:00	39.45
2000-11-27 00:00:00	39.3
2000-11-28 00:00:00	39.14
2000-11-29 00:00:00	38.96
2000-11-30 00:00:00	38.8
2000-12-01 00:00:00	38.64
2000-12-02 00:00:00	38.5
2000-12-03 00:00:00	38.34
2000-12-04 00:00:00	38.2
2000-12-05 00:00:00	38.06
2000-12-06 00:00:00	37.92
2000-12-07 00:00:00	37.76
2000-12-08 00:00:00	37.62
2000-12-09 00:00:00	37.48
2000-12-10 00:00:00	37.32
2000-12-11 00:00:00	37.18
2000-12-12 00:00:00	37
2000-12-13 00:00:00	36.86
2000-12-14 00:00:00	36.7
2000-12-15 00:00:00	36.54
2000-12-16 00:00:00	36.38
2000-12-17 00:00:00	36.23
2000-12-18 00:00:00	36.08
2000-12-19 00:00:00	35.92
2000-12-20 00:00:00	35.76
2000-12-21 00:00:00	35.6
2000-12-22 00:00:00	35.44
2000-12-23 00:00:00	35.32
2000-12-24 00:00:00	35.18
2000-12-25 00:00:00	35.06
2000-12-26 00:00:00	34.94
2000-12-27 00:00:00	34.8
2000-12-28 00:00:00	34.66
2000-12-29 00:00:00	34.52
2000-12-30 00:00:00	34.38
2000-12-31 00:00:00	34.24
2001-01-01 00:00:00	34.1
2001-01-02 00:00:00	33.94
2001-01-03 00:00:00	33.78
2001-01-04 00:00:00	33.6
2001-01-05 00:00:00	33.34
2001-01-06 00:00:00	33.16
2001-01-07 00:00:00	32.96
2001-01-08 00:00:00	32.78
2001-01-09 00:00:00	32.58
2001-01-10 00:00:00	32.3405
2001-01-11 00:00:00	32.1
2001-01-12 00:00:00	31.86
2001-01-13 00:00:00	31.59
2001-01-14 00:00:00	31.35
2001-01-15 00:00:00	31.1
2001-01-16 00:00:00	30.84
2001-01-17 00:00:00	30.64
2001-01-18 00:00:00	30.42
2001-01-19 00:00:00	30.22
2001-01-20 00:00:00	29.96
2001-01-21 00:00:00	29.68
2001-01-22 00:00:00	29.42
2001-01-23 00:00:00	29.12
2001-01-24 00:00:00	28.84
2001-01-25 00:00:00	28.62
2001-01-26 00:00:00	28.42
2001-01-27 00:00:00	28.26
2001-01-28 00:00:00	28.14
2001-01-29 00:00:00	28.05
2001-01-30 00:00:00	27.92
2001-01-31 00:00:00	27.72
2001-02-01 00:00:00	27.54
2001-02-02 00:00:00	27.38
2001-02-03 00:00:00	27.153
2001-02-04 00:00:00	26.94987
2001-02-05 00:00:00	26.76
2001-02-06 00:00:00	26.62
2001-02-07 00:00:00	26.54
2001-02-08 00:00:00	26.49675
2001-02-09 00:00:00	26.37175
2001-02-10 00:00:00	26.28
2001-02-11 00:00:00	26.21
2001-02-12 00:00:00	26.16
2001-02-13 00:00:00	26.1
2001-02-14 00:00:00	26.04
2001-02-15 00:00:00	26
2001-02-16 00:00:00	25.94
2001-02-17 00:00:00	25.8405
2001-02-18 00:00:00	25.79362
2001-02-19 00:00:00	25.74
2001-02-20 00:00:00	25.68
2001-02-21 00:00:00	25.60612
2001-02-22 00:00:00	25.52
2001-02-23 00:00:00	25.4
2001-02-24 00:00:00	25.23112
2001-02-25 00:00:00	25.12175
2001-02-26 00:00:00	25.07487
2001-02-27 00:00:00	25.07487
2001-02-28 00:00:00	25.16862
2001-03-01 00:00:00	25.04362
2001-03-02 00:00:00	24.87175
2001-03-03 00:00:00	24.72
2001-03-04 00:00:00	24.52
2001-03-05 00:00:00	24.34
2001-03-06 00:00:00	24.14
2001-03-07 00:00:00	23.82
2001-03-08 00:00:00	23.36
2001-03-09 00:00:00	22.86
2001-03-10 00:00:00	22.53
2001-03-11 00:00:00	22.28
2001-03-12 00:00:00	21.85612
2001-03-13 00:00:00	21.43425
2001-03-14 00:00:00	20.94987
2001-03-15 00:00:00	20.48112
2001-03-16 00:00:00	20.10612
2001-03-17 00:00:00	20.2
2001-03-18 00:00:00	20.42
2001-03-19 00:00:00	20.66
2001-03-20 00:00:00	20.74675
2001-03-21 00:00:00	20.8
2001-03-22 00:00:00	20.76
2001-03-23 00:00:00	20.7
2001-03-24 00:00:00	20.68
2001-03-25 00:00:00	20.62
2001-03-26 00:00:00	20.6
2001-03-27 00:00:00	20.66
2001-03-28 00:00:00	20.72
2001-03-29 00:00:00	20.74
2001-03-30 00:00:00	20.72
2001-03-31 00:00:00	20.62
2001-04-01 00:00:00	20.56
2001-04-02 00:00:00	20.46
2001-04-03 00:00:00	20.38
2001-04-04 00:00:00	20.24
2001-04-05 00:00:00	20.06
2001-04-06 00:00:00	19.88
2001-04-07 00:00:00	19.72
2001-04-08 00:00:00	19.56
2001-04-09 00:00:00	19.4
2001-04-10 00:00:00	19.22
2001-04-11 00:00:00	19.04
2001-04-12 00:00:00	18.84
2001-04-13 00:00:00	18.66
2001-04-14 00:00:00	18.46
2001-04-15 00:00:00	18.26
2001-04-16 00:00:00	18.1
2001-04-17 00:00:00	17.9
2001-04-18 00:00:00	17.7
2001-04-19 00:00:00	17.5
2001-04-20 00:00:00	17.3
2001-04-21 00:00:00	17.12
2001-04-22 00:00:00	16.96
2001-04-23 00:00:00	16.84
2001-04-24 00:00:00	16.76
2001-04-25 00:00:00	16.66
2001-04-26 00:00:00	16.58
2001-04-27 00:00:00	16.48
2001-04-28 00:00:00	16.4
2001-04-29 00:00:00	16.3
2001-04-30 00:00:00	16.18
2001-05-01 00:00:00	16
2001-05-02 00:00:00	15.7
2001-05-03 00:00:00	15.7
2001-05-04 00:00:00	15.08
2001-05-05 00:00:00	14.74
2001-05-06 00:00:00	14.43
2001-05-07 00:00:00	14.1
2001-05-08 00:00:00	13.76
2001-05-09 00:00:00	13.42
2001-05-10 00:00:00	13.36
2001-05-11 00:00:00	13
2001-05-12 00:00:00	12.6
2001-05-13 00:00:00	12.72
2001-05-14 00:00:00	12.8
2001-05-15 00:00:00	12.8
2001-05-16 00:00:00	12.6
2001-05-17 00:00:00	12.58
2001-05-18 00:00:00	12.7
2001-05-19 00:00:00	12.8
2001-05-20 00:00:00	12.9
2001-05-21 00:00:00	12.9
2001-05-22 00:00:00	12.86
2001-05-23 00:00:00	12.82
2001-05-24 00:00:00	12.66
2001-05-25 00:00:00	12.42
2001-05-26 00:00:00	12.18
2001-05-27 00:00:00	12.3
2001-05-28 00:00:00	13.16
2001-05-29 00:00:00	13.44
2001-05-30 00:00:00	13.403
2001-05-31 00:00:00	13.3
2001-06-01 00:00:00	13.403
2001-06-02 00:00:00	12.76
2001-06-03 00:00:00	12.76
2001-06-04 00:00:00	12.74
2001-06-05 00:00:00	12.64
2001-06-06 00:00:00	12.5
2001-06-07 00:00:00	12.74
2001-06-08 00:00:00	13.18
2001-06-09 00:00:00	16.64
2001-06-10 00:00:00	17.74
2001-06-11 00:00:00	18.07487
2001-06-12 00:00:00	18.85612
2001-06-13 00:00:00	19.32
2001-06-14 00:00:00	19.6
2001-06-15 00:00:00	19.82
2001-06-16 00:00:00	19.88737
2001-06-17 00:00:00	19.87175
2001-06-18 00:00:00	20.02
2001-06-19 00:00:00	20.02
2001-06-20 00:00:00	19.98
2001-06-21 00:00:00	19.96
2001-06-22 00:00:00	19.96
2001-06-23 00:00:00	19.9
2001-06-24 00:00:00	19.8
2001-06-25 00:00:00	19.68
2001-06-26 00:00:00	19.56
2001-06-27 00:00:00	19.44
2001-06-28 00:00:00	19.34
2001-06-29 00:00:00	19.24
2001-06-30 00:00:00	19.12
2001-07-01 00:00:00	19
2001-07-02 00:00:00	18.88
2001-07-03 00:00:00	18.76
2001-07-04 00:00:00	18.62
2001-07-05 00:00:00	18.52
2001-07-06 00:00:00	19.06
2001-07-07 00:00:00	19.48
2001-07-08 00:00:00	19.88
2001-07-09 00:00:00	20.19987
2001-07-10 00:00:00	20.5
2001-07-11 00:00:00	20.6
2001-07-12 00:00:00	20.68
2001-07-13 00:00:00	20.73112
2001-07-14 00:00:00	20.87175
2001-07-15 00:00:00	21.028
2001-07-16 00:00:00	21.76
2001-07-17 00:00:00	22.46
2001-07-18 00:00:00	22.84
2001-07-19 00:00:00	23.08
2001-07-20 00:00:00	23.26
2001-07-21 00:00:00	23.29362
2001-07-22 00:00:00	23.43425
2001-07-23 00:00:00	23.72
2001-07-24 00:00:00	23.8
2001-07-25 00:00:00	23.86
2001-07-26 00:00:00	23.88
2001-07-27 00:00:00	23.92
2001-07-28 00:00:00	23.96
2001-07-29 00:00:00	24.04
2001-07-30 00:00:00	24.08
2001-07-31 00:00:00	24.1
2001-08-01 00:00:00	24.1
2001-08-02 00:00:00	24.12
2001-08-03 00:00:00	24.12
2001-08-04 00:00:00	24.12
2001-08-05 00:00:00	24.21
2001-08-06 00:00:00	24.38
2001-08-07 00:00:00	24.46
2001-08-08 00:00:00	24.9
2001-08-09 00:00:00	25.22
2001-08-10 00:00:00	25.3
2001-08-11 00:00:00	25.38
2001-08-12 00:00:00	25.48
2001-08-13 00:00:00	25.56
2001-08-14 00:00:00	25.54
2001-08-15 00:00:00	25.48
2001-08-16 00:00:00	25.44
2001-08-17 00:00:00	25.6
2001-08-18 00:00:00	25.88
2001-08-19 00:00:00	26.3
2001-08-20 00:00:00	26.76
2001-08-21 00:00:00	27.46
2001-08-22 00:00:00	28.06
2001-08-23 00:00:00	28.6
2001-08-24 00:00:00	28.86
2001-08-25 00:00:00	29.04
2001-08-26 00:00:00	29.82
2001-08-27 00:00:00	30.94
2001-08-28 00:00:00	31.42
2001-08-29 00:00:00	31.8
2001-08-30 00:00:00	32.06
2001-08-31 00:00:00	32.26
2001-09-01 00:00:00	32.5
2001-09-02 00:00:00	32.96
2001-09-03 00:00:00	33.36
2001-09-04 00:00:00	33.68
2001-09-05 00:00:00	34.02
2001-09-06 00:00:00	34.2
2001-09-07 00:00:00	34.36
2001-09-08 00:00:00	36.92
2001-09-09 00:00:00	39.77
2001-09-10 00:00:00	40.4
2001-09-11 00:00:00	40.66
2001-09-12 00:00:00	40.8
2001-09-13 00:00:00	40.96
2001-09-14 00:00:00	41.08
2001-09-15 00:00:00	41.12
2001-09-16 00:00:00	41.16
2001-09-17 00:00:00	41.2
2001-09-18 00:00:00	41.18
2001-09-19 00:00:00	41.18
2001-09-20 00:00:00	41.16
2001-09-21 00:00:00	41.1
2001-09-22 00:00:00	41.08
2001-09-23 00:00:00	41.04
2001-09-24 00:00:00	41.02
2001-09-25 00:00:00	41.4
2001-09-26 00:00:00	41
2001-09-27 00:00:00	41.12
2001-09-28 00:00:00	41.2
