Date,Pptn,Temp,Wind_speed,PET,Q,TP_catch,chl-a_lake,TP_lake,colour_lake,CyanoBiovol,Rain_day,Pptn_intense,Wind_under_Q0.2,Wind_under_Q0.4,Wind_over_Q0.6,Wind_over_Q0.8,Temp_subzero,Season,Pptn_lag1,Temp_lag1,Wind_speed_lag1,PET_lag1,Q_lag1,Rain_day_lag1,Pptn_intense_lag1,Wind_under_Q0.2_lag1,Wind_under_Q0.4_lag1,Wind_over_Q0.6_lag1,Wind_over_Q0.8_lag1,TP_lake_prevSummer,colour_lake_prevSummer,chl-a_lake_prevSummer,Temp_prevSummer,CyanoBiovol_prevSummer
1988-04-30,552.9446130323839,0.2425538888888983,2.5597075514107868,34.27399926000001,,104.36774193548389,,,,,86.0,16.0,41.0,74.0,72.0,36.0,70.0,wint,653.416719693524,11.633136844661275,2.612712232359059,487.42528928899947,,90.0,15.0,34.0,67.0,68.0,32.0,23.433333333333334,29.02777777833333,8.511111111166667,11.633136844661275,
1988-10-31,646.0817190200033,13.487195767344769,2.411401654077256,523.9881009949997,,48.73469387755101,14.055555556666668,29.533333333333335,32.27777777666667,,80.0,25.0,40.0,79.0,58.0,36.0,3.0,summ,552.9446130323839,0.2425538888888983,2.5597075514107868,34.27399926000001,,86.0,16.0,41.0,74.0,72.0,36.0,23.433333333333334,29.02777777833333,8.511111111166667,11.633136844661275,
1989-04-30,348.36674152979583,1.9494092426233784,2.971387120701428,80.00489963,,63.716666666666654,,,,,67.0,8.0,26.0,57.0,93.0,44.0,42.0,wint,646.0817190200033,13.487195767344769,2.411401654077256,523.9881009949997,,80.0,25.0,40.0,79.0,58.0,36.0,29.533333333333335,32.27777777666667,14.055555556666668,13.487195767344769,
1989-10-31,383.74051216238087,13.106498841723345,2.637208463575921,503.7450417649999,,46.3,14.271428571428572,27.057142857142853,23.857142857142858,,59.0,11.0,37.0,76.0,74.0,39.0,0.0,summ,348.36674152979583,1.9494092426233784,2.971387120701428,80.00489963,,67.0,8.0,26.0,57.0,93.0,44.0,29.533333333333335,32.27777777666667,14.055555556666668,13.487195767344769,
1990-04-30,470.00219010817335,3.14091135022759,3.172135818402694,99.39146167099999,,209.15111111111105,,,,,70.0,11.0,33.0,60.0,97.0,66.0,39.0,wint,383.74051216238087,13.106498841723345,2.637208463575921,503.7450417649999,,59.0,11.0,37.0,76.0,74.0,39.0,27.057142857142853,23.857142857142858,14.271428571428572,13.106498841723345,
1990-10-31,413.79637307108453,13.254606220397577,2.6321756425270655,510.35975439499947,,59.464000000000006,12.242857142857142,28.900000000000006,19.857142857142858,,68.0,14.0,34.0,65.0,79.0,35.0,2.0,summ,470.00219010817335,3.14091135022759,3.172135818402694,99.39146167099999,,70.0,11.0,33.0,60.0,97.0,66.0,27.057142857142853,23.857142857142858,14.271428571428572,13.106498841723345,
1991-04-30,326.9954806635116,0.21513639965990755,2.6193985238285635,51.76249367699999,,87.16296296296295,,,,,56.0,7.0,32.0,83.0,73.0,39.0,76.0,wint,413.79637307108453,13.254606220397577,2.6321756425270655,510.35975439499947,,68.0,14.0,34.0,65.0,79.0,35.0,28.900000000000006,19.857142857142858,12.242857142857142,13.254606220397577,
1991-10-31,380.6346164758991,12.889861526748007,2.493080865682042,507.06440214800017,,33.276923076923076,9.425,27.225,20.625,,55.0,11.0,41.0,80.0,70.0,35.0,0.0,summ,326.9954806635116,0.21513639965990755,2.6193985238285635,51.76249367699999,,56.0,7.0,32.0,83.0,73.0,39.0,28.900000000000006,19.857142857142858,12.242857142857142,13.254606220397577,
1992-04-30,345.01829851004885,2.1876490483823385,2.8889884661265683,63.012168035999984,,124.20624999999997,,,,,56.0,9.0,37.0,65.0,88.0,55.0,49.0,wint,380.6346164758991,12.889861526748007,2.493080865682042,507.06440214800017,,55.0,11.0,41.0,80.0,70.0,35.0,27.225,20.625,9.425,12.889861526748007,
1992-10-31,359.6290569170167,13.083738333765869,2.49913786057252,525.1973503149997,,50.23103448275862,16.757142857142856,31.342857142857145,21.285714285714285,,57.0,12.0,46.0,75.0,73.0,34.0,2.0,summ,345.01829851004885,2.1876490483823385,2.8889884661265683,63.012168035999984,,56.0,9.0,37.0,65.0,88.0,55.0,27.225,20.625,9.425,12.889861526748007,
1993-04-30,350.55547851898933,1.5168669429444688,3.0830980001246675,55.850663993000005,,230.0071428571429,,,,,51.0,9.0,35.0,67.0,93.0,62.0,58.0,wint,359.6290569170167,13.083738333765869,2.49913786057252,525.1973503149997,,57.0,12.0,46.0,75.0,73.0,34.0,31.342857142857145,21.285714285714285,16.757142857142856,13.083738333765869,
