year,chla,chla_prevSummer,colour,colour_prevSummer,cyano,cyano_prevSummer,rain,rain_lag1,rainy_days_winter,temp,TP,TP_prevSummer,windDays_under_Q0.4,windDays_over_Q0.6
1995,20.566666666666666,19.358333333333334,28.333333333333332,27.125,,,210.53463110900003,211.71560748299999,165.0,13.037037544152176,26.099999999999998,30.737500000000004,27.0,42.0
1996,23.933333333333334,21.883333333333333,20.333333333333332,25.833333333333332,2.1233333333333335,,172.12987558600008,55.62630938800003,148.0,11.995010161152175,30.8,29.450000000000003,26.0,47.0
1997,21.03333333333333,21.3,20.666666666666668,17.666666666666664,1.3166666666666667,3.1783333333333337,180.95761478200004,123.03158462099998,159.0,14.016933814978264,29.599999999999998,31.283333333333335,35.0,32.0
1998,18.766666666666666,23.066666666666663,,19.0,0.8933333333333332,1.7016666666666667,210.34744419000003,186.08428352599998,147.0,12.610114130119566,26.7,29.416666666666664,26.0,39.0
1999,,21.1,51.69230769230769,,0.77,1.2866666666666666,291.151700398,262.90604718399993,158.0,12.743668900402174,,32.36666666666667,19.0,48.0
2000,17.099999999999998,,49.15384615384615,50.42307692307692,0.19666666666666666,2.0766666666666667,248.36199442299994,189.060361626,144.0,13.13161708809783,34.666666666666664,,25.0,42.0
2001,21.566666666666663,22.166666666666664,73.3076923076923,42.28525641025641,0.29833333333333334,0.9877083333333332,185.76768162199994,198.32702729400006,147.0,13.781627430967394,45.0,32.666666666666664,16.0,51.0
2002,23.0,21.03333333333333,59.69230769230769,68.42307692307692,0.5720000000000001,0.39649999999999996,320.827473462,158.56789200800006,159.0,14.581400571119566,42.0,38.333333333333336,27.0,45.0
2003,19.083333333333332,25.5,48.0,54.57692307692308,0.648,0.5623333333333334,272.53285883199993,158.59090877299997,124.0,14.12535460952174,31.333333333333332,36.666666666666664,25.0,39.0
2004,36.333333333333336,17.104166666666664,38.666666666666664,42.875,2.5046666666666666,0.77,191.0656472809999,149.23313424,150.0,13.315869566652175,40.333333333333336,33.291666666666664,20.0,40.0
2005,18.16923076923077,25.6,53.333333333333336,38.666666666666664,1.1172948933333333,1.4663333333333333,234.12120388600002,75.962384985,145.0,13.449493758554352,29.615384615384617,36.833333333333336,30.0,32.0
2006,22.264285714285712,20.384615384615383,55.75,46.5,0.9441994285714286,1.3695121533333334,196.168084071,200.82535213199998,164.0,14.994149163369565,30.642857142857142,32.37019230769231,37.0,34.0
2007,17.73846153846154,30.532142857142855,70.33333333333333,44.625,1.6125406624999998,2.1717405462857142,357.39982618700003,131.12002013900005,157.0,13.87064251096739,32.69230769230769,35.27142857142857,43.0,27.0
2008,16.446153846153848,17.952564102564104,58.333333333333336,64.66666666666666,0.19648414714285714,1.39858868125,223.24659292499996,224.3804002740001,164.0,14.625843514717387,35.46153846153846,32.13782051282051,46.0,23.0
2009,16.436363636363637,15.836713286713287,63.666666666666664,71.66666666666667,0.49294866183333336,0.23035223190476195,236.727380031,148.88398896500001,137.0,14.247826349760878,29.272727272727273,32.50349650349651,34.0,31.0
2010,13.7,16.347348484848485,63.5,58.95833333333333,0.06991657142857143,0.49938581935000004,243.78339129200003,138.126200654,159.0,13.676593360239133,28.46153846153846,28.96969696969697,32.0,30.0
2011,15.246153846153845,11.395,68.84615384615384,61.41666666666667,0.03280607142857143,0.07846158571428571,308.51362378399995,120.56331233099999,135.0,14.175819390554357,26.692307692307693,26.03076923076923,39.0,29.0
2012,15.623076923076923,12.060576923076923,62.92307692307692,72.74450549450549,0.015106,0.029480952380952382,290.1019707169999,116.65501219,142.0,13.182981759141297,27.76923076923077,26.554487179487182,24.0,37.0
2013,15.1,13.526538461538461,70.5,64.15384615384616,0.13924837271428572,0.06932219999999999,271.04800603000007,86.28312931200001,132.0,14.51148089697826,22.985714285714288,26.184615384615384,16.0,50.0
2014,13.433333333333332,14.058333333333334,47.73333333333334,59.36666666666666,0.11565658150000001,0.2191101143571429,159.853964134,271.35633923000006,145.0,15.321389833891306,21.733333333333334,22.992857142857144,34.0,29.0
2015,14.6,12.599999999999998,48.333333333333336,41.27666666666667,0.058834507833333334,0.11163818141666668,313.30353361000004,154.565633974,146.0,12.37802335380434,22.166666666666668,20.3,17.0,56.0
2016,8.233333333333333,14.925,52.5,52.833333333333336,0.031230039166666668,0.08764442241666666,180.73523569199992,242.941582077,158.0,14.518242564130436,20.916666666666668,24.25,20.0,44.0
2017,13.385714285714286,9.726666666666667,,51.25,0.08411289200000001,0.08536658194999999,195.85459838600008,149.00081377700002,134.0,13.653999853326088,,18.75,24.0,39.0
2018,,12.762857142857143,,,0.045305710000000006,0.124312898,65.78225232800001,105.962053055,151.0,15.823635620866668,,,15.0,23.0
