"Date","Onkaparinga.R.Houlgraves.ML.d","Hahndorf.dissipator.ML.d","Catchment.flow.ML.d"
2000-01-09,191.778,191.7,0.078000000000003
2000-01-10,193.8,189.9,3.90000000000001
2000-01-11,189.41,189.9,0
2000-01-12,190.019,190.4,0
2000-01-13,154.542,153.4,1.142
2000-01-14,164.12,164,0.120000000000005
2000-01-15,191.776,189.6,2.17600000000002
2000-01-16,191.354,191.3,0.054000000000002
2000-01-17,193.128,192.5,0.627999999999986
2000-01-18,194.434,192.7,1.73400000000001
2000-01-19,194.787,192.1,2.68700000000001
2000-01-20,194.873,192.3,2.57299999999998
2000-01-21,193.085,190.5,2.58500000000001
2000-01-22,192.791,188.8,3.99099999999999
2000-01-23,192.53,190,2.53
2000-01-24,194.091,192.7,1.39100000000002
2000-01-25,181.676,165.9,15.776
2000-01-26,159.805,155.2,4.60500000000002
2000-01-27,127.097,54.2,72.897
2000-01-28,33.681,101,0
2000-01-29,156.625,155.1,1.52500000000001
2000-01-30,157.128,156.5,0.627999999999986
2000-01-31,159.334,157.4,1.934
2000-02-01,159.397,156.7,2.697
2000-02-02,142.867,126.7,16.167
2000-02-03,109.765,108,1.765
2000-02-04,108.464,97.3,11.164
2000-02-05,100.382,97.6,2.78200000000001
2000-02-06,99.656,1.6,98.056
2000-02-07,102.741,104.5,0
2000-02-08,101.39,100.4,0.989999999999995
2000-02-09,103.412,104.6,0
2000-02-10,107.457,106.6,0.856999999999999
2000-02-11,102.778,102.6,0.178000000000011
2000-02-12,102.646,102.7,0
2000-02-13,101.337,102.6,0
2000-02-14,102.111,103.7,0
2000-02-15,102.344,102.9,0
2000-02-16,101.744,102.9,0
2000-02-17,101.627,97.9,3.72699999999999
2000-02-18,102.325,100,2.325
2000-02-19,105.671,102.7,2.971
2000-02-20,105.99,93,12.99
2000-02-21,108.603,103,5.60299999999999
2000-02-22,110.349,102,8.349
2000-02-23,112.016,98,14.016
2000-02-24,113.699,120.7,0
2000-02-25,115.396,101,14.396
2000-02-26,118.774,101.6,17.174
2000-02-27,124.837,101.3,23.537
2000-02-28,131.107,94.7,36.407
2000-02-29,137.563,101.1,36.463
2000-03-01,144.205,101.2,43.005
2000-03-02,151.037,108.3,42.737
2000-03-03,158.059,124.2,33.859
2000-03-04,162.522,168.8,0
2000-03-05,162.974,168.7,0
2000-03-06,164.422,169.6,0
2000-03-07,164.237,168.7,0
2000-03-08,163.461,168.6,0
2000-03-09,162.987,174.3,0
2000-03-10,162.286,162.1,0.186000000000007
2000-03-11,161.685,168.8,0
2000-03-12,169.382,168.7,0.682000000000016
2000-03-13,172.034,156.3,15.734
2000-03-14,167.005,167.7,0
2000-03-15,165.755,169,0
2000-03-16,164.073,156.7,7.37300000000002
2000-03-17,148.318,156.1,0
2000-03-18,150.875,165.5,0
2000-03-19,153.618,160,0
2000-03-20,155.158,145.7,9.458
2000-03-21,155.145,157.5,0
2000-03-22,154.999,157.5,0
2000-03-23,198.412,157.5,40.912
2000-03-24,168.83,157.5,11.33
2000-03-25,160.45,158.2,2.25
2000-03-26,158.442,157.5,0.942000000000007
2000-03-27,158.017,157.5,0.516999999999996
2000-03-28,158.316,157.5,0.816000000000003
2000-03-29,157.775,158.8,0
2000-03-30,157.161,155.1,2.06100000000001
2000-03-31,156.902,157.5,0
2000-04-01,156.023,158.2,0
2000-04-02,156.933,158.3,0
2000-04-03,157.71,157.5,0.210000000000008
2000-04-04,158.544,156.2,2.34400000000002
2000-04-05,173.522,157.6,15.922
2000-04-06,177.436,158.3,19.136
2000-04-07,124.019,93.2,30.819
2000-04-08,106.28,136.2,0
2000-04-09,210.455,213.8,0
2000-04-10,215.804,213.8,2.00399999999999
2000-04-11,187.554,174.8,12.754
2000-04-12,166.921,157.6,9.321
2000-04-13,156.327,151.3,5.02699999999999
2000-04-14,153.68,138.6,15.08
2000-04-15,170.488,134.8,35.688
2000-04-16,200.476,209.3,0
2000-04-17,222.33,213.8,8.53
2000-04-18,197.012,165.8,31.212
2000-04-19,159.239,161.8,0
2000-04-20,148.288,124.4,23.888
2000-04-21,133.159,123.1,10.059
2000-04-22,124.815,112.7,12.115
2000-04-23,110.671,101.5,9.17100000000001
2000-04-24,102.275,89.6,12.675
2000-04-25,99.957,86.3,13.657
2000-04-26,90.076,78.8,11.276
2000-04-27,83.946,66,17.946
2000-04-28,66.498,64.2,2.298
2000-04-29,69.058,67.3,1.75800000000001
2000-04-30,151.964,64.9,87.064
2000-05-01,147.179,34.3,112.879
2000-05-02,91.13,37.3,53.83
2000-05-03,71.158,33.9,37.258
2000-05-04,63.639,42.6,21.039
2000-05-05,64.095,45,19.095
2000-05-06,66.17,45.2,20.97
2000-05-07,65.149,45,20.149
2000-05-08,63.989,45.1,18.889
2000-05-09,63.063,45,18.063
2000-05-10,63.623,45,18.623
2000-05-11,61.429,40.6,20.829
2000-05-12,60.109,21.9,38.209
2000-05-13,108.154,14.6,93.554
2000-05-14,290.268,44.8,245.468
2000-05-15,188.762,45,143.762
2000-05-16,144.037,45,99.037
2000-05-17,95.345,5.2,90.145
2000-05-18,62.697,0.1,62.597
2000-05-19,51.859,0,51.859
2000-05-20,40.423,0,40.423
2000-05-21,37.974,0,37.974
2000-05-22,35.652,0.1,35.552
2000-05-23,28.598,8.7,19.898
2000-05-24,24.811,11.8,13.011
2000-05-25,23.911,11.2,12.711
2000-05-26,33.187,11.2,21.987
2000-05-27,153.599,10.8,142.799
2000-05-28,289.435,11.8,277.635
2000-05-29,161.955,11.3,150.655
2000-05-30,106.172,11.3,94.872
2000-05-31,82.779,11.2,71.579
2000-06-01,63.252,11.3,51.952
2000-06-02,55.364,10.8,44.564
2000-06-03,48.405,11.3,37.105
2000-06-04,52.493,11.2,41.293
2000-06-05,91.799,11.3,80.499
2000-06-06,79.088,11.2,67.888
2000-06-07,62.915,11.3,51.615
2000-06-08,53.347,10.8,42.547
2000-06-09,50.026,11,39.026
2000-06-10,80.224,11.3,68.924
2000-06-11,68.968,11.2,57.768
2000-06-12,57.068,10.2,46.868
2000-06-13,47.945,11.3,36.645
2000-06-14,42.332,11.3,31.032
2000-06-15,38.54,11.2,27.34
2000-06-16,35.46,11.3,24.16
2000-06-17,34.741,11.2,23.541
2000-06-18,35.785,11.3,24.485
2000-06-19,55.891,64.3,0
2000-06-20,108.631,84.9,23.731
2000-06-21,106.611,54.2,52.411
2000-06-22,123.482,11.3,112.182
2000-06-23,966.586,12.6,953.986
2000-06-24,300.002,11.3,288.702
2000-06-25,157.009,11.2,145.809
2000-06-26,107.185,11.3,95.885
2000-06-27,186.333,11.2,175.133
2000-06-28,808.238,11.3,796.938
2000-06-29,1192.924,11.2,1181.724
2000-06-30,574.236,9.7,564.536
2000-07-01,288.553,11.1,277.453
2000-07-02,199.875,11.3,188.575
2000-07-03,155.428,11.2,144.228
2000-07-04,128.136,0,128.136
2000-07-05,109.176,11.2,97.976
2000-07-06,114.543,0,114.543
2000-07-07,173.106,11.1,162.006
2000-07-08,142.757,11.3,131.457
2000-07-09,161.002,11.2,149.802
2000-07-10,197.787,11.2,186.587
2000-07-11,138.773,11.1,127.673
2000-07-12,109.902,11.2,98.702
2000-07-13,107.577,11.2,96.377
2000-07-14,90.796,11.4,79.396
2000-07-15,107.005,11.2,95.805
2000-07-16,125.239,11.3,113.939
2000-07-17,93.375,11.2,82.175
2000-07-18,78.2,11.3,66.9
2000-07-19,196.273,11.3,184.973
2000-07-20,1401.518,11.2,1390.318
2000-07-21,1465.144,11.3,1453.844
2000-07-22,1426.419,11.2,1415.219
2000-07-23,401.911,11.3,390.611
2000-07-24,262.592,11.3,251.292
2000-07-25,260.568,11.2,249.368
2000-07-26,861.391,11.3,850.091
2000-07-27,982.028,11.2,970.828
2000-07-28,831.147,11.3,819.847
2000-07-29,443.936,11.2,432.736
2000-07-30,295.214,11.3,283.914
2000-07-31,223.265,11.3,211.965
2000-08-01,178.883,11.2,167.683
2000-08-02,146.801,11.3,135.501
2000-08-03,123.394,11.2,112.194
2000-08-04,105.629,11.2,94.429
2000-08-05,93.396,11.3,82.096
2000-08-06,85.064,11.2,73.864
2000-08-07,80.497,0,80.497
2000-08-08,88.172,0,88.172
2000-08-09,144.128,0,144.128
2000-08-10,202.352,0,202.352
2000-08-11,267.123,0,267.123
2000-08-12,160.107,0,160.107
2000-08-13,119.835,0,119.835
2000-08-14,108.736,0,108.736
2000-08-15,131.74,0,131.74
2000-08-16,405.388,2,403.388
2000-08-17,209.467,0,209.467
2000-08-18,144.374,0,144.374
2000-08-19,114.665,0,114.665
2000-08-20,99.406,0,99.406
2000-08-21,95.074,0,95.074
2000-08-22,195.247,0,195.247
2000-08-23,2020.624,0,2020.624
2000-08-24,2317.918,0,2317.918
2000-08-25,711.009,0,711.009
2000-08-26,518.081,0,518.081
2000-08-27,982.634,0,982.634
2000-08-28,725.197,0,725.197
2000-08-29,1139.822,0,1139.822
2000-08-30,448.169,0,448.169
2000-08-31,307.854,0,307.854
2000-09-01,264.412,0,264.412
2000-09-02,1981.197,0,1981.197
2000-09-03,1343.416,0,1343.416
2000-09-04,843.459,0,843.459
2000-09-05,419.699,0,419.699
2000-09-06,326.116,0,326.116
2000-09-07,272.638,0.1,272.538
2000-09-08,4683.867,0,4683.867
2000-09-09,3064.375,0.4,3063.975
2000-09-10,3136.194,0.8,3135.394
2000-09-11,1169.966,0,1169.966
2000-09-12,1054.809,0,1054.809
2000-09-13,544.044,0,544.044
2000-09-14,376.965,0,376.965
2000-09-15,272.588,0,272.588
2000-09-16,228.275,0,228.275
2000-09-17,195.54,0,195.54
2000-09-18,170.427,0,170.427
2000-09-19,153.451,0,153.451
2000-09-20,137.307,1.2,136.107
2000-09-21,120.42,0,120.42
2000-09-22,108.616,0,108.616
2000-09-23,97.429,0,97.429
2000-09-24,90.388,0,90.388
2000-09-25,86.377,0,86.377
2000-09-26,80.036,0,80.036
2000-09-27,76.816,0,76.816
2000-09-28,72.724,0,72.724
2000-09-29,69.518,0,69.518
2000-09-30,62.828,0,62.828
2000-10-01,105.363,2.5,102.863
2000-10-02,122.347,0,122.347
2000-10-03,84.865,0,84.865
2000-10-04,71.305,0,71.305
2000-10-05,63.1,0,63.1
2000-10-06,55.403,0,55.403
2000-10-07,51.126,0,51.126
2000-10-08,66.684,0,66.684
2000-10-09,72.745,0.5,72.245
2000-10-10,58.441,0,58.441
2000-10-11,52.748,0,52.748
2000-10-12,49.073,0,49.073
2000-10-13,48.02,0.6,47.42
2000-10-14,51.339,0,51.339
2000-10-15,41.793,0,41.793
2000-10-16,50.949,14.3,36.649
2000-10-17,65.269,0,65.269
2000-10-18,616.622,0,616.622
2000-10-19,1878.054,0,1878.054
2000-10-20,1540.29,0,1540.29
2000-10-21,394.234,0,394.234
2000-10-22,239.87,0,239.87
2000-10-23,167.308,0,167.308
2000-10-24,133.284,0,133.284
2000-10-25,115.414,0,115.414
2000-10-26,107.055,0,107.055
2000-10-27,97.945,0,97.945
2000-10-28,86.374,0,86.374
2000-10-29,76.7,0,76.7
2000-10-30,68.033,0.9,67.133
2000-10-31,64.042,0,64.042
2000-11-01,60.691,0,60.691
2000-11-02,62.97,0,62.97
2000-11-03,67.359,0,67.359
2000-11-04,61.953,0,61.953
2000-11-05,54.43,0,54.43
2000-11-06,49.237,0,49.237
2000-11-07,44.21,0,44.21
2000-11-08,40.082,0,40.082
2000-11-09,52.427,0,52.427
2000-11-10,58.618,0,58.618
2000-11-11,56.578,0.9,55.678
2000-11-12,56.405,0,56.405
2000-11-13,51.128,0,51.128
2000-11-14,50.087,0,50.087
2000-11-15,45.542,0,45.542
2000-11-16,39.966,0,39.966
2000-11-17,34.57,0,34.57
2000-11-18,30.608,0.1,30.508
2000-11-19,28.191,0,28.191
2000-11-20,25.103,0,25.103
2000-11-21,23.027,0,23.027
2000-11-22,22.378,0,22.378
2000-11-23,21.017,0,21.017
2000-11-24,19.096,0,19.096
2000-11-25,17.28,0,17.28
2000-11-26,15.696,0,15.696
2000-11-27,13.925,0,13.925
2000-11-28,11.598,0,11.598
2000-11-29,9.937,0,9.937
2000-11-30,9.295,0,9.295
2000-12-01,8.733,0,8.733
2000-12-02,8.035,0,8.035
2000-12-03,7.669,0,7.669
2000-12-04,7.187,0,7.187
2000-12-05,6.154,0,6.154
2000-12-06,5.495,0,5.495
2000-12-07,5.248,0,5.248
2000-12-08,4.857,0,4.857
2000-12-09,4.473,0,4.473
2000-12-10,4.291,0,4.291
2000-12-11,3.864,0,3.864
2000-12-12,3.052,0,3.052
2000-12-13,2.461,0,2.461
2000-12-14,2.432,0,2.432
2000-12-15,1.915,0,1.915
2000-12-16,1.658,0,1.658
2000-12-17,1.397,0,1.397
2000-12-18,1.249,0,1.249
2000-12-19,1.189,0,1.189
2000-12-20,1.094,0,1.094
2000-12-21,1.098,0,1.098
2000-12-22,1.732,0,1.732
2000-12-23,1.956,0,1.956
2000-12-24,2.071,0,2.071
2000-12-25,2.023,0,2.023
2000-12-26,2.742,0,2.742
2000-12-27,2.131,0,2.131
2000-12-28,1.713,0,1.713
2000-12-29,1.451,0,1.451
2000-12-30,1.339,0,1.339
2000-12-31,1.442,0,1.442
2001-01-01,1.668,0,1.668
2001-01-02,1.83,0,1.83
2001-01-03,2.04,0,2.04
2001-01-04,0.956,0,0.956
2001-01-05,0.813,0,0.813
2001-01-06,0.776,0,0.776
2001-01-07,0.749,0,0.749
2001-01-08,0.811,0,0.811
2001-01-09,0.998,0,0.998
2001-01-10,1.335,0,1.335
2001-01-11,1.53,0,1.53
2001-01-12,1.4,0,1.4
2001-01-13,1.34,0,1.34
2001-01-14,1.262,0,1.262
2001-01-15,1.072,0,1.072
2001-01-16,0.897,0,0.897
2001-01-17,0.814,0,0.814
2001-01-18,0.581,0,0.581
2001-01-19,0.411,0,0.411
2001-01-20,0.321,0,0.321
2001-01-21,0.21,0,0.21
2001-01-22,0.072,0,0.072
2001-01-23,0,0,0
2001-01-24,39.379,100,0
2001-01-25,96.504,0.1,96.404
2001-01-26,99.863,0,99.863
2001-01-27,104.914,135.9,0
2001-01-28,195.991,202.41,0
2001-01-29,198.696,177.2,21.496
2001-01-30,116.637,101,15.637
2001-01-31,96.454,101.2,0
2001-02-01,132.872,164.5,0
2001-02-02,165.931,166.6,0
2001-02-03,168.462,180.8,0
2001-02-04,188.591,191.3,0
2001-02-05,189.499,191.2,0
2001-02-06,170.649,159.8,10.849
2001-02-07,169.852,176.4,0
2001-02-08,185.772,181.5,4.27199999999999
2001-02-09,136.476,132.37,4.10599999999999
2001-02-10,188.247,0,188.247
2001-02-11,188.382,366.03,0
2001-02-12,188.974,187.1,1.874
2001-02-13,192.993,185.2,7.79300000000001
2001-02-14,191.176,179,12.176
2001-02-15,189.605,179.09,10.515
2001-02-16,200.327,204.71,0
2001-02-17,194.16,194.85,0
2001-02-18,167.061,158.44,8.62100000000001
2001-02-19,166.582,160.47,6.11199999999999
2001-02-20,175.818,178.95,0
2001-02-21,176.929,160.41,16.519
2001-02-22,140.728,134.59,6.13800000000001
2001-02-23,158.312,162.57,0
2001-02-24,106.529,67.5,39.029
2001-02-25,152.67,198.52,0
2001-02-26,192.795,202.46,0
2001-02-27,193.029,202.32,0
2001-02-28,191.931,201.45,0
2001-03-01,191.361,195.03,0
2001-03-02,190.424,195.02,0
2001-03-03,190.196,192.68,0
2001-03-04,190.772,199.21,0
2001-03-05,189.607,201.47,0
2001-03-06,190.12,201.38,0
2001-03-07,189.863,185.68,4.18299999999999
2001-03-08,73.892,50.82,23.072
2001-03-09,144.772,211.11,0
2001-03-10,296.86,309.3,0
2001-03-11,295.858,304.58,0
2001-03-12,294.587,308.93,0
2001-03-13,205.28,179.37,25.91
2001-03-14,178.27,166.89,11.38
2001-03-15,176.355,191.91,0
2001-03-16,124.896,105.7,19.196
2001-03-17,176.13,185.07,0
2001-03-18,189.269,196.78,0
2001-03-19,215.875,203.13,12.745
2001-03-20,156.275,157.5,0
2001-03-21,167.193,159.32,7.87300000000002
2001-03-22,196.631,179.48,17.151
2001-03-23,191.842,176.91,14.932
2001-03-24,187.09,181.8,5.28999999999999
2001-03-25,193.164,0,193.164
2001-03-26,219.638,360,0
2001-03-27,194.617,163.98,30.637
2001-03-28,157.037,157.48,0
2001-03-29,150.119,142.73,7.38900000000001
2001-03-30,109.909,77.13,32.779
2001-03-31,82.907,102.14,0
2001-04-01,129.018,113.04,15.978
2001-04-02,87.681,90,0
2001-04-03,102.649,107.92,0
2001-04-04,115.018,112.81,2.208
2001-04-05,92.015,68.67,23.345
2001-04-06,88.873,0,88.873
2001-04-07,108.792,0,108.792
2001-04-08,102.485,295.05,0
2001-04-09,95.689,90,5.68899999999999
2001-04-10,93.663,90.56,3.10299999999999
2001-04-11,92.937,91.1,1.837
2001-04-12,92.143,89.86,2.283
2001-04-13,91.624,90,1.624
2001-04-14,91.041,90.46,0.581000000000003
2001-04-15,96.89,101.21,0
2001-04-16,111.848,98.75,13.098
2001-04-17,88.698,89.87,0
2001-04-18,88.266,90,0
2001-04-19,88.263,89.99,0
2001-04-20,87.702,90.02,0
2001-04-21,87.075,84.48,2.595
2001-04-22,74.743,147.32,0
2001-04-23,95.677,77.16,18.517
2001-04-24,89.097,67.51,21.587
2001-04-25,86.239,67.5,18.739
2001-04-26,82.816,67.5,15.316
2001-04-27,82.174,67.5,14.674
2001-04-28,82.434,67.5,14.934
2001-04-29,81.765,67.51,14.255
2001-04-30,64.773,11.23,53.543
2001-05-01,14.142,0,14.142
2001-05-02,7.865,0.11,7.755
2001-05-03,6.146,0,6.146
2001-05-04,5.73,0,5.73
2001-05-05,5.487,0,5.487
2001-05-06,5.45,0.03,5.42
2001-05-07,5.179,0,5.179
2001-05-08,5.221,0,5.221
2001-05-09,5.356,0,5.356
2001-05-10,5.146,0,5.146
2001-05-11,19.431,76.55,0
2001-05-12,151.936,174.45,0
2001-05-13,195.228,202.49,0
2001-05-14,197.579,202.5,0
2001-05-15,119.095,73.17,45.925
2001-05-16,83.068,67.5,15.568
2001-05-17,153.459,67.49,85.969
2001-05-18,170.008,67.5,102.508
2001-05-19,151.671,67.5,84.171
2001-05-20,103.112,67.5,35.612
2001-05-21,89.22,67.51,21.71
2001-05-22,83.68,67.5,16.18
2001-05-23,77.662,32.55,45.112
2001-05-24,24.637,0,24.637
2001-05-25,12.641,0,12.641
2001-05-26,11.683,0,11.683
2001-05-27,110.908,0,110.908
2001-05-28,382.013,0,382.013
2001-05-29,135.398,0,135.398
2001-05-30,69.2,1.2,68
2001-05-31,46.064,0,46.064
2001-06-01,34.251,0,34.251
2001-06-02,68.087,90.86,0
2001-06-03,138.088,112.5,25.588
2001-06-04,136.9,110.27,26.63
2001-06-05,84.628,39.91,44.718
2001-06-06,70.189,44.66,25.529
2001-06-07,145.571,45.04,100.531
2001-06-08,260.144,45,215.144
2001-06-09,1729.869,44.96,1684.909
2001-06-10,549.27,45,504.27
2001-06-11,242.886,42.43,200.456
2001-06-12,544.732,0,544.732
2001-06-13,279.105,0,279.105
2001-06-14,260.509,0,260.509
2001-06-15,254.162,0,254.162
2001-06-16,144.362,1.22,143.142
2001-06-17,109.065,0,109.065
2001-06-18,88.775,0,88.775
2001-06-19,74.836,0,74.836
2001-06-20,66.704,0,66.704
2001-06-21,92.085,0,92.085
2001-06-22,144.114,0,144.114
2001-06-23,114.483,0,114.483
2001-06-24,86.71,0,86.71
2001-06-25,73.028,0,73.028
2001-06-26,65.664,0,65.664
2001-06-27,69.438,0,69.438
2001-06-28,60.89,0,60.89
2001-06-29,57.376,0,57.376
2001-06-30,52.663,0,52.663
2001-07-01,49.281,0,49.281
2001-07-02,46.873,0,46.873
2001-07-03,45.089,0,45.089
2001-07-04,43.322,0,43.322
2001-07-05,71.059,0,71.059
2001-07-06,466.62,0,466.62
2001-07-07,345.911,113.5,232.411
2001-07-08,348.867,157.49,191.377
2001-07-09,356.192,157.52,198.672
2001-07-10,224.072,48.67,175.402
2001-07-11,170.212,45.16,125.052
2001-07-12,170.89,45.47,125.42
2001-07-13,226.662,60.69,165.972
2001-07-14,204.132,90,114.132
2001-07-15,266.293,90,176.293
2001-07-16,690.045,90,600.045
2001-07-17,683.374,68.03,615.344
2001-07-18,427.177,50.52,376.657
2001-07-19,296.124,48.01,248.114
2001-07-20,237.805,45.79,192.015
2001-07-21,225.107,68.46,156.647
2001-07-22,220.418,90,130.418
2001-07-23,199.139,83,116.139
2001-07-24,143.727,21.98,121.747
2001-07-25,97.607,0,97.607
