"date","obs_psl","ERA5_psl","psl_1","psl_2","psl_3","psl_4","psl_5","psl_6","psl_7","psl_8","psl_9","psl_10","psl_11","psl_12","psl_13","psl_14","psl_15","psl_16","psl_17","psl_18","psl_19","psl_20","psl_21","psl_22","psl_23","psl_24","psl_25"
2008-01-10,NA,98211.5612266459,99321.4698772278,99268.9529994952,98857.3103536545,99024.2821509679,98742.2436893073,99183.2906330938,98672.121436697,98322.8064281045,99112.4188557783,99128.6410697477,99239.9084298289,98860.1040631806,98800.6059366154,98899.3960326838,98664.8448772561,99037.7737920184,98986.128030849,99305.0979994489,98728.0524402081,98727.6487931676,98826.5725610899,98677.5583745846,99404.099350047,98507.9892431217,98615.3258726097
2008-01-11,NA,98666.66508046,99288.8406267768,98735.3657500873,98929.3583114733,98807.7992996646,98952.1429920251,99134.397233282,98469.1209011631,98476.5577377735,99372.5241355492,98711.6629161822,98949.4124118798,98544.1147496054,98764.9404012181,98566.1155293538,98655.2397585528,99008.3066772748,98412.2407308608,99624.3958141598,98717.2245986971,99108.9523171888,98461.1090653705,98265.1642347459,98687.2312996231,98475.2841393842,99342.7510560571
2008-01-12,NA,98344.8122919068,99244.8944054761,97664.4469767939,98775.3742038904,98266.3634038161,98243.5208335486,98794.95793677,98426.2422203976,99013.2276691326,99495.8233844731,98174.5562179088,99093.5887115382,98247.6101926007,98923.3452271569,99065.0034820997,99156.510442466,99011.5348730613,98735.947896512,99405.1328484783,98807.7992996646,99347.0574808466,98319.1548632239,98174.5562179088,98795.6790947966,98511.9131537403,99669.991691983
2008-01-13,NA,98895.6489682973,99182.2306680708,98123.4874715091,98284.0944747878,98970.794200832,98912.5265040839,98553.0128453573,98545.2462880333,99131.3014980776,99082.6537566433,98802.5028506412,98959.6133949461,98002.4158328174,98959.6133949461,98999.3556173292,99588.7900193594,98697.8486992697,99222.2820015914,98970.794200832,98783.3710393499,99314.7564675721,97949.4167396643,98051.200487841,98853.4532821894,98976.0915717154,98915.4362744648
2008-01-14,NA,98760.1373996147,98830.421171108,99449.2169815154,98167.4321828288,99137.2784648438,98818.9871501754,98677.5570401939,98377.2033258438,99173.8680366615,98654.666072931,99338.9752151946,98968.8839917715,98068.7446561402,98526.4974765807,99246.6557739035,99589.0426910283,98489.5589180243,99658.7585456678,98786.1434160311,98643.9793579181,99328.1369251577,98609.3999513269,97734.9504874706,99251.9758351944,99036.6675661779,98701.2803417114
2008-01-15,NA,98785.4037291991,98526.4321551835,99476.9513303284,98235.4791572753,98914.6194365189,99122.676141673,99126.169132977,98543.5161945993,99244.1788880528,98829.0890180801,99097.305293813,99114.7646506864,97984.1814497216,98755.2321122451,99218.8375584459,99560.7440597508,98704.8405491951,99579.2494574117,98671.9864979717,98342.8639928943,98999.3556173292,99245.6445063504,98794.3095196699,99383.0847798025,98407.7504024197,98915.7423683358
2008-01-16,NA,99350.7357021042,98541.2236581668,98961.8581768155,98955.6669821556,98476.5577377735,99573.8380175454,99093.5887115382,98856.5828142443,98824.2775611272,99079.3337830763,98723.1392316869,99105.1931169521,98344.1824751388,98665.6571770173,98974.438644021,99591.7064252842,99210.6744235731,99526.6643497293,98645.8991049908,98751.6551041411,98054.4562665456,99445.5315857262,99479.2062797826,99069.6479350469,98235.4030268127,98824.1857521956
2008-01-17,NA,98836.5576669031,98591.5532410622,98677.7872735712,99016.9350444872,99020.8382563556,99409.1505832195,98722.0852901346,98543.5161945993,98493.5722141381,98533.5446988938,98573.5345288159,99064.7097588655,99309.0965321908,97813.8599655782,98914.7358846096,99167.7451253731,99277.2915254697,99225.4896775939,98856.9368188994,98997.3596284324,98322.8152964607,98923.1348605405,99449.2169815154,98898.3693728988,98468.2347005619,98425.8359481939
2008-01-18,NA,98336.3761180908,98392.5390124973,98470.4818865719,99122.676141673,98679.1536723328,99460.5325770182,98693.6323582557,98322.8152964607,98537.5162899255,98004.1557057561,98895.7368110969,98740.2751481877,99359.5392235545,98431.1342637444,98889.5998399824,99006.2032996325,99263.7619356031,99011.6170642766,98609.9949955617,98748.5634383186,98852.8303949125,98185.869958194,99303.6966981765,98600.4220594722,98412.6015031913,98290.9550464919
2008-01-19,NA,98438.9952576984,97971.9887211852,98856.9368188994,99128.8970667664,99069.6479350469,99588.2520026251,98687.2096141568,98311.7704322564,98489.5589180243,98652.9088733076,99095.598248724,98686.0271266111,99178.501040566,98949.4124118798,98575.3617943109,99160.0318032643,98932.2420174617,99066.205970888,98686.0271266111,98634.1731858403,98778.0313631374,98567.9089635115,99006.2032996325,98076.2086365967,98847.3764730955,98502.7587554547
