"date","obs_petH","ERA5_petH","petH_1","petH_2","petH_3","petH_4","petH_5","petH_6","petH_7","petH_8","petH_9","petH_10","petH_11","petH_12","petH_13","petH_14","petH_15","petH_16","petH_17","petH_18","petH_19","petH_20","petH_21","petH_22","petH_23","petH_24","petH_25"
2001-08-03,NA,1.39809239570866,1.26090150632295,1.60136403865479,1.5234892082924,1.47968113848848,1.52893353369202,1.23513386742847,1.44092527566632,0.94202718799512,1.11715150724307,1.39245639597835,0.912337031196303,1.03704719076638,1.64013573528531,1.55214023196469,1.488294302192,1.5622754252976,0.814112635371055,0.882117255105917,1.28725725913107,1.14967950201164,1.71087487779801,0.882077512909489,1.25858105086497,0.99280798308841,1.45497086896578
2001-08-04,NA,1.43841016102134,1.03225892575244,1.5032233792626,1.84490507869933,1.55907485058498,1.71359220676131,1.70848437071143,1.45439120637469,1.31276556018895,1.12271052407688,1.56688973561264,1.20418880677081,1.47346660863038,1.51764334637597,0.870335530986421,1.49814681479098,1.05853209090319,0.835888120006511,0.970228587699056,1.46433312294781,1.33096986819436,1.6287300108708,1.172654650543,1.32623749791938,1.40247447344599,1.36683721850605
2001-08-05,NA,1.26411531871104,1.30784065757227,1.08364121431768,0.928509126428064,1.34446153277108,1.87810587409667,1.65623195801137,1.26443491695829,1.5137885200386,1.46918809373924,1.86290968739233,1.42086863247232,1.66629902380127,1.68863982063955,0.9790058714562,1.15187005547284,1.00302667731217,0.995714664933989,1.38824930940164,1.14544172437279,1.63049410227606,1.19695988786055,1.49671776969638,1.06600014759908,1.74742126469988,1.52356614147634
2001-08-06,NA,1.140507872568,1.01960128149274,1.32600964140618,1.19917145421043,0.993324281931819,1.74978684963575,1.67450941093846,1.18582788377379,1.73343116031241,0.849405856130306,1.26114728588318,1.42135276538151,1.77551474333368,1.77906385010064,0.936064607295431,1.30461493522225,1.19437942613343,0.977626906162145,1.38394033353457,1.5622754252976,1.60398387609628,1.7042552707547,1.62607268261159,0.765257258478516,1.78250077205403,1.45197474195076
2001-08-07,NA,1.03459174116542,1.04180777968163,1.25522158350465,1.19695988786055,1.45677750637001,1.86312305725533,1.84022446714454,1.71359220676131,1.6413489637306,1.31106445555382,1.25038945750328,1.305709733866,1.13127621726144,1.71323595350243,1.09473643895338,1.76559692491024,1.13989810610468,1.01330357913379,1.45993411368739,1.63773257074473,1.6627908241858,1.64951845567072,1.63222219869826,0.98518175273989,1.59117960225235,1.52503408612401
2001-08-08,NA,1.22572553606173,1.33358435039628,1.29290939144567,1.42142577017799,1.65558820881783,1.5510999324435,1.45604189025563,1.75781163849764,1.29828029808598,1.28745617818164,1.44576730992386,1.43455276709584,1.40667669625998,1.71820751503937,1.19350169921879,1.56050605950946,1.31449145217807,1.24324013190927,0.948584605689216,1.86653721688504,1.63129603188679,1.44811170687159,1.26715191691594,1.32476323553074,1.48241637516277,1.84057106993391
2001-08-09,NA,1.53686502857789,1.45970271520722,1.43701344944985,1.30570634348939,1.48159735540325,1.61889529984821,0.830739712387803,1.56973748532585,1.22465675746173,1.35074095208927,1.39969181088173,1.49986602835871,1.56681890496405,1.51033863429759,1.15329574356133,1.9000567993214,1.55930163456231,1.29796097137984,1.28713430883598,1.81425145323672,1.59885299427803,1.29772640325799,1.52196219264338,1.18823451674423,1.64623772948537,1.78458696088756
2001-08-10,NA,1.51554535878011,1.97553794891653,1.54572424991794,1.54477398759046,1.40247447344599,1.25861141867041,0.965365733278561,0.981697443657712,1.26036123925148,1.59101009699302,1.44209977938181,1.62048274322219,1.64283755315057,1.3667522919908,1.32812303116671,2.00788946248638,1.62048274322219,1.43566195086264,0.904453110911507,1.89447171675803,1.46019821260022,1.42929563485333,1.78458696088756,1.13386440263459,1.33694425051056,1.94903842475932
2001-08-11,NA,1.89960006321993,1.1521427280084,1.74004852221697,1.7046177041158,1.20761208137682,1.02048952594589,1.40801493744173,1.21902141183236,1.16399113072637,1.45140080460367,1.90227527942906,1.65104300168784,1.1409021568616,1.56767823421815,1.31106445555382,1.9065505870844,1.83484688934188,1.51979831757874,0.923193906450192,1.42415674353081,1.09342240608582,1.65558820881783,0.970228587699056,1.19917145421043,1.35001066455024,2.10003558423448
2001-08-12,NA,1.68396934075972,1.13790191288574,1.77650072577634,0.953080741554139,1.17987283620948,1.54707895932679,1.62596763567993,1.16616841339446,1.19052717033235,1.54930449517646,2.00788946248638,1.56850630603086,1.04253463786988,1.89657890465634,1.04302339954505,2.20490388867747,1.76539312937274,1.33037968954151,0.912337031196303,1.43928015933999,1.27566156410305,1.50128472349446,1.25049958152066,1.0371265619591,1.9030664203738,2.02272210824482
