dates;obs;ERA5;m_1;m_10;m_11;m_12;m_13;m_14;m_15;m_16;m_17;m_18;m_19;m_2;m_20;m_21;m_22;m_23;m_24;m_25;m_3;m_4;m_5;m_6;m_7;m_8;m_9
16-Mar-1993 12:00:00;NaN;0.8552865;0.8391092;2.222352;1.286688;0.6279989;0.2023872;2.753236;-0.04534888;2.152838;2.275607;2.420129;1.17714;0.9951062;0.8882641;0.943599;0.05986193;1.607771;0.943599;-0.1380359;1.006769;0.7220522;0.8089786;-0.009175004;2.230251;1.189578;0.09266281
17-Mar-1993 12:00:00;NaN;0.8648634;1.111918;2.517579;1.626142;0.8424057;0.05802242;3.258001;-0.03467858;2.109605;2.535545;2.572433;1.389814;0.9914323;0.9531248;1.191783;0.2005206;1.543842;1.191783;-0.1344837;0.7577523;1.114125;0.9055347;0.003691539;2.4386;1.285318;0.09939089
18-Mar-1993 12:00:00;NaN;0.8534185;1.301456;2.649243;2.016706;1.041013;-0.08348424;3.671102;-0.02350157;2.120205;2.952201;2.721479;1.456727;0.9877677;1.017677;1.663243;0.6213294;1.569171;1.663243;-0.1312418;0.5687495;1.710267;1.045846;0.01700085;2.568071;1.157122;0.1079237
19-Mar-1993 12:00:00;NaN;1.152328;1.489108;2.703176;2.274033;1.243294;-0.0592101;3.813088;-0.01252166;2.060003;3.292014;2.705861;1.12851;0.9843786;1.223032;2.111557;0.748158;1.566299;2.111557;-0.1279769;1.01074;2.047839;1.123839;0.3498525;2.554565;0.9977903;0.1195969
20-Mar-1993 12:00:00;NaN;1.583165;1.742049;2.439746;2.33762;1.357852;-0.04669068;3.870687;-0.001562886;1.914859;3.564902;2.513989;0.6369248;0.9810292;1.488689;2.651762;0.9079894;1.150456;2.651762;-0.1245022;1.55982;2.092719;1.241246;0.463046;2.588252;1.159425;0.5015417
21-Mar-1993 12:00:00;NaN;2.000216;2.049713;2.34625;2.312118;1.608365;-0.03377481;4.048872;0.00999717;2.030582;3.924042;2.213919;0.2561004;0.9797314;1.672428;3.202861;1.256123;1.242782;3.202861;-0.1211543;1.957119;2.033771;1.468687;0.7052308;2.636106;1.402716;0.6877152
22-Mar-1993 12:00:00;NaN;2.221464;2.13496;2.393826;2.261485;1.66089;-0.02020185;4.190399;0.02254853;2.112902;4.217577;1.833054;0.01607613;0.9837763;1.728121;3.400965;1.416547;1.565592;3.400965;-0.1178817;2.250591;2.046582;1.701598;0.996453;2.710873;1.449512;0.8395821
23-Mar-1993 12:00:00;NaN;2.442146;2.21188;2.336081;2.200468;1.384872;-0.00287595;4.491148;0.03586226;2.034551;4.428055;1.645669;-0.001538749;0.6531969;1.911364;3.429501;1.421695;1.698598;3.429501;-0.1143761;2.451031;2.158894;1.857547;1.242294;2.860529;1.504636;1.118981
24-Mar-1993 12:00:00;NaN;2.574296;2.402204;2.116283;2.232723;1.427399;0.2973509;4.588537;0.4874305;2.096629;4.597255;1.63933;-0.07817994;1.065426;2.199986;3.38122;1.503426;1.707432;3.38122;-0.1108174;2.60732;2.330804;2.079831;1.387048;2.932636;1.770616;1.428734
25-Mar-1993 12:00:00;NaN;2.601983;2.689053;2.117491;2.28053;1.433794;0.3765642;4.651;0.7584459;2.03423;4.625616;1.74135;-0.03556129;1.640266;2.405419;3.405294;1.749818;1.99371;3.405294;-0.107316;2.726212;2.485766;2.299183;1.472941;3.15981;2.127336;1.564348
26-Mar-1993 12:00:00;NaN;2.559229;2.906885;2.371124;2.335909;1.324168;0.6711481;5.055527;1.079656;2.125644;4.916781;2.084594;-0.02216011;2.135563;2.592238;3.599902;2.045903;2.196243;3.599902;-0.10379;2.682224;2.609311;2.3977;1.434357;3.214531;2.474194;1.65671
27-Mar-1993 12:00:00;NaN;2.568762;2.694774;2.602297;2.540729;1.569325;1.07828;5.178998;1.270739;2.45889;4.949544;2.678665;-0.01214713;2.417375;2.851956;3.72683;2.341155;2.42457;3.72683;-0.1010268;2.702545;2.791507;2.450072;1.623276;3.307723;2.780832;1.77629
28-Mar-1993 12:00:00;NaN;2.654546;2.414361;2.840187;2.823622;1.821396;1.312666;5.213248;1.464058;2.654198;5.033504;3.400117;-0.004923769;2.677073;3.071653;3.853532;2.570674;2.686528;3.853532;-0.09941882;2.70781;2.902216;2.490957;1.91931;3.260806;3.028381;1.940052
29-Mar-1993 12:00:00;NaN;2.68154;2.330065;3.07341;3.027233;2.197;1.303232;5.239547;1.91357;2.669452;5.133216;3.913535;0.002856057;3.059989;3.281414;3.919864;2.640918;2.828116;3.919864;-0.09694762;2.683442;2.948149;2.55627;1.956653;3.323021;3.288918;2.004273
30-Mar-1993 12:00:00;NaN;2.588381;2.279833;3.439993;3.213117;2.353047;1.344049;5.418448;2.256366;2.764835;5.25925;4.015992;0.01088227;3.371703;3.556266;4.236462;2.860548;2.746728;4.236462;-0.0944612;2.763198;2.866104;2.610255;1.989417;3.690841;3.681897;1.800371
31-Mar-1993 12:00:00;NaN;2.596362;2.221456;3.753884;3.249516;2.521912;1.51911;5.656447;2.538571;3.047352;5.343725;4.52198;0.02033292;3.474785;3.858907;4.723375;3.22189;3.031757;4.723375;-0.09166221;2.901994;2.772815;2.602054;2.335977;3.80668;4.052911;1.657775
01-Apr-1993 12:00:00;NaN;2.664034;2.07779;4.035001;3.091887;2.845411;1.834713;5.681961;2.929999;3.447821;5.350119;4.736504;0.02917163;3.419718;4.251244;5.248897;3.39168;3.422602;5.248897;-0.08581932;2.908516;2.739609;2.599606;2.680691;3.72959;4.247894;1.714699
02-Apr-1993 12:00:00;NaN;2.850492;2.151084;4.238241;3.081161;3.344687;2.26197;5.705182;3.299444;3.603381;5.308103;4.759715;0.04101153;3.306803;4.580768;5.546;3.599545;3.712319;5.546;-0.07940802;2.96734;2.959723;2.703688;2.956973;3.712935;4.453241;1.874789
03-Apr-1993 12:00:00;NaN;3.135223;2.414893;4.275702;3.353439;3.721612;2.435273;5.731124;3.57342;3.76418;5.334071;5.351346;0.5889828;3.250855;4.86518;5.52623;3.870672;3.847261;5.52623;-0.07311597;3.259031;3.110012;2.821923;3.41159;3.660396;4.700774;1.871211
04-Apr-1993 12:00:00;NaN;3.381253;2.56611;4.313406;3.615973;4.045997;2.442616;5.758568;3.72032;4.053282;5.430836;5.388892;0.9820036;3.158545;4.924494;5.513247;4.054094;3.897427;5.513247;-0.06572249;3.636799;3.174288;2.912219;3.751992;3.525206;5.200027;1.938592
05-Apr-1993 12:00:00;NaN;3.479289;2.623;4.350351;3.67622;4.07238;2.439253;5.789329;3.802315;4.291124;5.428797;5.416128;1.401219;3.068678;4.957894;5.521043;4.246775;3.920579;5.521043;-0.0577846;3.858835;3.429925;3.110355;4.040235;3.435477;5.442749;2.024569
06-Apr-1993 12:00:00;NaN;3.550636;2.902468;4.386948;3.790024;3.93492;2.682252;5.812208;3.96414;4.41603;5.432944;5.440901;1.805236;3.241096;4.991524;5.460606;4.306293;3.851378;5.460606;-0.04686839;4.110255;3.632715;3.418921;4.208352;3.458704;5.583846;2.281889
07-Apr-1993 12:00:00;NaN;3.658257;3.467432;4.424282;4.22437;4.080447;2.761497;5.865344;4.228846;4.48744;5.269042;5.474209;2.23185;3.602925;5.025057;5.724477;4.306063;3.765233;5.724477;-0.03190837;4.510333;3.743617;3.597926;4.285637;3.557357;5.615768;2.622835
08-Apr-1993 12:00:00;NaN;3.689077;4.028353;4.463015;4.755731;4.178026;2.982143;6.718523;4.387183;4.553431;5.353352;5.513967;2.691319;3.956158;5.061913;6.025267;4.245648;3.624969;6.025267;-0.01403929;4.746477;3.921048;3.65889;4.419568;3.905498;5.609568;3.007798
09-Apr-1993 12:00:00;NaN;3.756943;4.162176;4.502956;5.269409;4.248726;3.501121;6.849216;4.572566;4.617873;5.565038;5.555194;3.125697;4.214166;5.106965;6.065536;4.187315;3.724881;6.065536;0.9796339;4.823515;4.157595;3.934965;4.899027;4.283001;5.369464;3.278777
10-Apr-1993 12:00:00;NaN;3.939597;4.38496;4.544782;5.536622;4.342267;3.90628;7.556478;4.716536;4.568894;5.39563;5.59446;3.454991;4.647562;7.232523;6.093196;4.179108;3.967746;6.093196;1.483565;5.13632;4.407517;4.008988;4.959077;4.648564;5.166816;3.384497
11-Apr-1993 12:00:00;NaN;4.16752;4.527194;4.581852;5.57248;4.513752;4.349756;8.25173;4.965966;4.466222;5.162881;5.634276;3.629796;4.737049;7.16784;6.594593;4.200751;4.306373;6.594593;1.965216;5.422326;4.683171;4.402544;5.011815;4.880898;5.11274;3.647373
12-Apr-1993 12:00:00;NaN;4.36375;4.549672;4.618065;5.600684;4.575153;4.85333;8.476083;5.237617;4.452467;4.912381;5.676188;3.675628;4.772618;6.865479;6.191514;4.013027;4.658127;6.191514;2.406978;5.460773;4.889348;4.456363;5.045915;5.065557;5.145941;4.07421
13-Apr-1993 12:00:00;NaN;4.649212;4.893199;4.653959;5.641134;4.647422;5.086807;8.330956;5.30367;4.552868;4.842189;5.71679;3.801926;4.805734;6.809867;5.935024;4.206387;4.84103;5.935024;2.933578;5.500064;5.146472;4.402344;5.115617;5.104994;5.181792;4.435373
14-Apr-1993 12:00:00;NaN;4.80405;5.375993;4.687466;5.717569;4.726182;5.42049;8.456326;5.325809;4.582238;4.878404;7.78381;3.984985;4.925892;6.837198;6.097784;4.637007;4.895696;6.097784;3.400887;5.538291;5.531023;4.447712;5.284759;6.039612;5.238558;4.893912
15-Apr-1993 12:00:00;NaN;4.871808;5.404786;4.91573;5.802497;4.801045;5.769844;8.558928;5.357346;5.022177;5.21391;7.784748;4.290731;4.998866;6.963071;6.38729;4.741171;5.109934;6.38729;3.909282;5.577416;5.602914;4.557136;5.32073;5.644629;5.824464;5.389177
16-Apr-1993 12:00:00;NaN;5.419763;5.419426;7.983841;5.892552;5.745588;5.876654;8.73198;5.388959;5.249476;5.366712;7.817894;4.659426;5.072919;6.768767;6.523375;4.789092;5.256625;6.523375;4.199689;5.619236;5.644332;4.853204;5.910336;5.278631;5.562613;5.524179
17-Apr-1993 12:00:00;NaN;5.626066;5.432084;8.0869;5.985136;5.617432;5.835312;8.749479;5.420735;5.715505;5.790529;7.689818;5.157908;5.134058;6.393259;6.593894;5.267376;5.298323;6.593894;4.547736;5.662463;5.614969;5.206131;5.97401;5.247264;5.847134;5.570354
18-Apr-1993 12:00:00;NaN;5.886852;5.459183;8.013985;8.53682;5.802527;5.458782;8.465691;5.45019;5.8554;5.930912;7.693721;5.447;5.188613;6.065544;6.949803;5.783496;5.341441;6.949803;4.60211;5.702271;5.571344;5.30298;5.944614;5.276137;6.141075;5.600203
19-Apr-1993 12:00:00;NaN;6.072996;5.4943;7.988892;8.670081;5.950118;5.290087;8.292369;5.475159;5.911665;6.123795;7.738456;5.555491;5.246384;5.807826;6.927883;5.947363;5.38379;6.927883;4.646875;5.740095;5.660382;5.34837;5.977234;5.308877;6.16643;5.626336
20-Apr-1993 12:00:00;NaN;6.110472;5.525352;8.02005;8.616729;5.986137;5.53686;8.311532;5.494056;5.965171;6.283532;7.762167;5.732436;5.302677;5.841506;6.94427;6.086935;6.315233;6.94427;4.69275;5.772489;5.680027;5.391831;5.994659;5.363534;6.434702;5.656785
21-Apr-1993 12:00:00;NaN;6.237776;5.554473;8.043307;8.349198;6.017187;5.852859;8.343966;5.51731;6.010751;6.471083;7.652262;5.795259;5.350088;6.025449;7.055666;6.211529;6.164569;7.055666;4.741476;5.798227;5.702511;5.436351;6.006294;5.956666;6.462676;6.619539
22-Apr-1993 12:00:00;NaN;6.462611;5.594801;8.066614;8.385901;6.051892;5.91208;8.377381;5.546064;6.049762;6.560059;7.440992;5.841047;5.385067;6.069567;7.161242;6.25883;6.156476;7.161242;4.78978;5.829336;5.724185;5.481493;6.379412;6.12073;6.594763;6.484105
23-Apr-1993 12:00:00;NaN;6.737001;5.650965;8.102084;8.574298;6.650276;5.978175;8.393682;5.583723;6.0761;6.599091;7.439595;5.872936;5.415839;6.114226;7.205697;6.898106;6.19633;7.205697;4.831018;5.871465;5.753834;5.524414;6.633988;6.472201;6.952133;6.552026
24-Apr-1993 12:00:00;NaN;6.834866;5.800309;8.142601;8.646949;7.878838;6.151492;8.953098;5.632876;6.091234;6.625448;7.469462;5.896654;5.445256;6.15979;7.243781;6.95613;6.236404;7.243781;7.902487;5.911124;5.77557;5.569546;6.892811;6.555282;7.136589;6.604802
25-Apr-1993 12:00:00;NaN;6.86787;7.517481;8.542181;8.770285;8.087116;6.161794;9.048265;5.675309;7.757007;6.769275;7.496126;5.921445;5.470034;6.19936;7.280866;6.987394;6.280307;7.280866;8.171752;5.946427;5.7968;5.617026;7.089761;6.607552;7.27844;6.641317
26-Apr-1993 12:00:00;NaN;6.908023;7.487436;9.526217;8.815779;8.170989;6.17357;9.168779;5.708895;7.894154;7.277679;7.517649;6.108033;7.692146;6.240134;7.313001;7.019963;6.330038;7.313001;8.519209;5.989452;6.944909;5.664907;7.113484;6.656129;7.449036;6.674161
27-Apr-1993 12:00:00;NaN;6.951334;7.449006;9.598128;8.862336;8.219739;6.455963;9.515664;5.747585;7.83978;7.323359;8.141388;6.195778;7.621682;6.286298;7.329444;7.05531;6.3824;7.329444;8.725021;6.034472;6.99518;5.715102;7.138417;6.701738;7.476153;6.710455
28-Apr-1993 12:00:00;NaN;6.996499;7.418732;9.645591;8.903627;8.265506;6.693684;9.865294;5.785639;7.977131;7.409993;8.054988;6.284958;7.828556;6.332164;7.340038;7.095382;6.432697;7.340038;8.73426;6.073011;7.090443;5.764075;7.171411;6.755096;7.503592;6.746077
29-Apr-1993 12:00:00;NaN;7.042729;7.406496;9.689076;8.942522;8.312903;6.722703;9.891997;5.830852;8.228765;7.451161;8.032426;6.366421;7.998503;6.377159;7.406147;7.125025;6.475694;7.406147;8.956443;6.111783;7.103793;5.799205;7.20492;6.80129;7.532952;6.788407
30-Apr-1993 12:00:00;NaN;7.089773;7.411088;9.729082;8.985109;8.362561;6.751313;9.908443;6.379898;8.329745;7.493576;8.065175;6.441248;8.211514;6.425159;7.501708;7.147843;6.521011;7.501708;9.195657;6.154038;7.113674;5.839684;7.242285;6.844308;7.552648;6.838029
01-May-1993 12:00:00;NaN;7.137612;7.439776;9.769646;9.030479;8.412066;7.415345;9.918796;10.84471;8.534633;8.455521;8.096209;7.063802;8.63886;6.474951;7.58102;7.185149;6.561493;7.58102;9.259519;6.201863;7.126343;5.888906;7.288703;6.889922;7.565919;6.890464
02-May-1993 12:00:00;NaN;7.180454;7.48962;9.800524;9.077305;8.457646;7.416009;10.7266;10.9571;9.088913;8.87602;8.131156;9.212955;8.896577;6.520905;9.035428;7.226055;6.599231;9.035428;9.004693;6.253177;7.148057;5.928683;7.341672;6.930077;7.592749;6.943996
03-May-1993 12:00:00;NaN;7.210326;7.543686;9.817332;9.125651;8.49376;7.651215;10.93423;11.08985;9.156725;8.83813;8.177695;9.225893;8.942921;6.569302;9.092461;7.269977;8.8463;9.092461;8.833585;6.306073;7.17071;5.974282;7.395668;6.970947;7.630653;6.996454
04-May-1993 12:00:00;NaN;7.232512;7.600699;9.826343;9.173203;8.527197;7.696387;10.97144;11.29963;9.263426;8.799813;8.228267;9.247829;8.993608;6.621568;9.128037;7.320308;8.975261;9.128037;8.774201;6.361279;7.188239;6.028932;7.449685;7.014363;7.664273;7.030767
05-May-1993 12:00:00;NaN;7.257984;7.660349;9.837878;9.217623;8.571554;7.828504;11.01328;11.3344;9.719139;8.781069;8.277431;9.265151;9.04678;6.671025;9.145131;7.371933;8.897453;9.145131;8.813334;6.412572;7.210957;6.082204;7.506926;7.052855;7.696975;8.090645
06-May-1993 12:00:00;NaN;7.288578;7.714331;9.849053;9.265152;8.624945;7.923843;11.05846;11.54782;9.746441;8.778728;8.320651;9.278779;9.100047;6.721887;9.156296;7.424373;8.941693;9.156296;8.860649;6.46333;7.245851;6.129594;7.566216;7.100046;7.736752;7.671408
07-May-1993 12:00:00;NaN;7.311076;7.750991;9.868582;9.317147;8.679995;7.965583;11.08748;11.50516;9.770313;8.774705;8.351224;9.305227;9.155559;6.775702;9.174373;7.477697;9.028103;9.174373;8.909547;6.518246;7.291795;6.176624;7.622494;7.15258;7.782545;7.532245
08-May-1993 12:00:00;NaN;7.346851;9.463298;9.905801;9.370008;8.735192;8.005787;11.10517;11.43925;9.907991;8.780492;8.378661;9.341409;9.190786;6.826647;10.766;7.528317;9.05619;10.766;8.940768;6.574011;7.331293;6.205393;7.678279;7.195228;7.830705;7.677133
09-May-1993 12:00:00;NaN;7.400533;9.306589;9.952131;9.422208;8.790794;8.054334;11.13832;11.45905;9.951561;8.814975;8.40626;9.378372;9.966121;6.878591;10.77647;7.572988;9.068666;10.77647;9.824782;6.625508;7.357075;6.232705;7.738889;7.332255;7.875765;7.973448
10-May-1993 12:00:00;NaN;7.454231;9.342206;9.997817;9.475041;8.84541;8.11013;11.18728;11.44605;9.993626;8.869687;8.435482;9.41688;9.965732;6.934193;10.82895;7.62219;9.082297;10.82895;10.29084;6.67915;7.381503;6.271669;7.802997;7.735009;7.913166;8.020781
11-May-1993 12:00:00;NaN;7.508212;9.377317;10.04043;9.519207;8.899196;8.167838;11.2361;11.65938;10.03594;8.927388;8.47365;9.456483;9.985612;6.990257;11.02044;7.678207;9.098644;11.02044;10.60728;6.736184;7.422045;6.31082;7.865674;8.081484;7.950182;8.056647
12-May-1993 12:00:00;NaN;7.563325;9.869984;10.08749;9.557041;8.952888;8.225708;11.28039;11.8129;10.07571;8.990325;8.514432;9.499085;10.00755;7.046797;11.12098;7.723162;9.127462;11.12098;10.65561;6.79316;7.473441;6.352596;7.931922;8.358922;7.988615;8.095455
13-May-1993 12:00:00;NaN;7.615652;9.840444;10.13682;9.604087;9.007097;8.284105;11.33064;11.85835;10.11989;9.060287;8.562481;9.543889;10.04215;7.104124;11.16336;7.75139;9.167558;11.16336;10.69983;6.849967;10.05577;6.395355;7.999506;8.580252;8.015982;8.148647
14-May-1993 12:00:00;NaN;7.656615;10.20493;10.18697;9.657423;9.06249;8.341176;11.3868;11.90658;10.17192;9.125396;8.617896;9.592402;10.07733;7.161798;11.20257;7.780481;9.210112;11.20257;10.74367;6.905769;10.24131;6.441391;8.069264;8.748827;8.051579;9.47154
15-May-1993 12:00:00;NaN;7.692093;10.15277;10.23962;9.712975;9.120724;8.393159;11.44094;11.95847;10.20841;9.183125;8.664204;9.640744;10.10035;7.21444;11.24428;7.812185;9.254741;11.24428;10.79331;6.963186;10.50894;6.486197;8.140612;8.889747;8.104545;9.340224
16-May-1993 12:00:00;NaN;7.735761;9.977483;10.29424;9.771529;9.181151;8.446816;11.49153;12.0087;10.22543;9.224049;8.704279;9.692867;10.12005;7.263569;11.29388;7.840646;9.300662;11.29388;10.84565;7.019088;11.01506;6.532445;8.207326;9.018201;8.161526;9.168392
17-May-1993 12:00:00;NaN;7.779655;10.25208;10.35008;9.831646;9.228634;8.504313;11.54304;12.06007;10.26156;9.26743;8.746189;9.747089;10.14804;7.312944;11.33782;7.878622;9.352452;11.33782;10.89831;7.065967;11.26731;6.585922;8.268992;9.135444;8.218705;9.163735
18-May-1993 12:00:00;NaN;7.82976;10.61013;10.40579;9.892223;9.266229;8.556933;11.58764;12.11431;10.29832;9.330379;8.790462;9.790467;10.17447;7.365263;11.38701;7.926493;9.406726;11.38701;10.94229;7.112343;11.31638;6.643726;8.331473;9.243541;8.271334;9.203097
19-May-1993 12:00:00;NaN;7.888596;10.88855;10.46206;9.951446;9.311295;8.603411;11.63153;12.16814;10.33063;9.397116;8.838087;9.819849;10.21029;7.419396;11.44609;7.973355;9.4631;11.44609;10.97249;7.164122;11.36435;6.691201;8.39715;9.342369;8.318261;9.246468
20-May-1993 12:00:00;NaN;7.945448;11.00535;10.52026;10.00384;9.362073;8.648095;11.67778;12.20625;10.39903;9.462581;8.871428;9.860351;10.2552;7.465776;11.5058;8.021412;9.503147;11.5058;11.01097;7.219795;11.41501;6.72689;8.459832;9.428711;8.353183;9.90913
21-May-1993 12:00:00;NaN;8.000384;11.02114;10.57948;10.05527;9.417892;8.686316;11.72145;12.24913;10.53121;9.523591;8.900407;9.915407;10.29556;7.512705;11.56405;8.058982;9.534142;11.56405;11.06461;7.279205;11.44573;6.76734;8.514904;9.504282;8.381431;9.997872
22-May-1993 12:00:00;NaN;8.05265;11.03701;10.63698;10.10479;9.477303;8.718654;11.76548;12.30837;10.68732;9.582484;8.947112;9.971113;10.34158;7.564024;11.60397;8.082397;9.566224;11.60397;11.12157;7.337903;11.48245;6.797881;8.575815;9.592777;8.419278;10.36192
23-May-1993 12:00:00;NaN;8.106104;11.07069;10.69295;10.15703;9.53307;8.752419;11.81019;12.37304;10.84847;9.648866;9.001979;10.02472;10.39064;7.612714;11.63602;8.117491;9.602166;11.63602;11.17968;7.390248;11.53549;6.814831;8.637837;14.03082;8.470985;10.60907
24-May-1993 12:00:00;NaN;8.161903;11.10285;10.7418;10.21852;9.580434;8.788983;11.85186;12.43817;11.00511;9.721578;9.054008;10.0711;10.442;7.65872;11.68555;8.16537;9.642681;11.68555;11.23728;7.441214;11.58733;6.846733;8.701507;14.13565;8.528522;10.66493
25-May-1993 12:00:00;NaN;8.214654;11.12238;10.78804;10.28222;9.626771;8.816275;11.88553;12.49295;11.15156;9.795416;9.100918;10.11353;10.47713;7.690727;11.74719;8.216352;9.696397;11.74719;11.29555;7.491299;11.64464;6.898923;8.770168;14.09887;8.575333;10.6977
26-May-1993 12:00:00;NaN;8.266615;11.14951;10.82817;10.33855;9.681343;8.839262;11.91754;13.89052;11.28869;9.869405;9.155875;10.15226;10.50857;7.713344;11.80864;8.273952;9.76087;11.80864;11.35435;7.548065;11.70204;6.952497;8.840065;14.00667;8.616372;10.72042
27-May-1993 12:00:00;NaN;8.31705;11.18395;10.85461;10.392;9.730272;8.874721;11.94467;13.88579;11.41741;9.942523;9.215049;10.18833;10.5445;7.744262;11.86616;8.3366;9.819471;11.86616;11.41561;7.605386;11.75341;7.007825;8.911288;13.90213;8.6674;10.74561
28-May-1993 12:00:00;NaN;8.372577;11.23518;10.88697;10.45049;9.760817;8.925589;11.97119;13.99123;11.53582;10.00209;9.283715;10.23252;10.57941;7.785323;11.9196;8.399614;9.870145;11.9196;11.47786;7.656591;11.79047;7.068789;8.981017;13.8081;8.727966;10.76369
29-May-1993 12:00:00;NaN;8.430597;11.292;10.91268;10.51287;9.783979;8.98105;12.0188;14.09055;11.64654;10.04807;13.88816;10.28496;10.62794;7.822335;11.97435;8.459219;9.912066;11.97435;11.53564;7.71172;11.81384;7.130418;9.05102;13.72781;8.78863;10.79466
