DateTime	uas_m.s-1	vas_m.s-1	ps_Pa	tas_degC	pr_mm	rsds_W.m-2	rlds_W.m-2	hurs_%	cc_frac	petH_mm.day-1	wss_m s**-1
1983-05-08 00:00:00	2.07252799959373	-4.19820403474045	99196.479753375	14.6412555169072	4.81882341210376	104.460840215576	345.907868916992	60.1960450228882	0.698727821240839	1.58865779713103	4.71529972950351
1983-05-09 00:00:00	0.970870810281753	5.54179845742798	99871.2202598094	11.8794156728516	0	99.8008016584473	328.967963708984	71.9257182290438	0.737831473355729	1.61754134366024	5.58718572063677
1983-05-10 00:00:00	-1.98955761612462	3.33463361014938	100494.835545593	10.0549251689453	0	101.269786938721	314.076632852997	61.1026368467353	0.755984135223852	1.49250827619707	3.81131042100754
1983-05-11 00:00:00	-2.71279818168831	-0.550832813982964	100411.9344465	9.13839671484377	0	118.11660693396	301.026391604492	56.898451074585	0.742708111058957	1.52994936356609	2.79901057388652
1983-05-12 00:00:00	-2.15851627659798	-3.80710921693802	100161.327082875	10.8167907862645	0	105.664993665405	305.887525439453	52.4056383558948	0.753334435894494	1.32610423030419	4.30637407273169
1983-05-13 00:00:00	-1.61706599000168	-4.62209082997513	100056.535567625	13.6248945219727	0	123.94918920459	330.392060724121	52.3569795812378	0.663893354403377	1.72074105338278	4.84686524869966
1983-05-14 00:00:00	-1.52522471116543	-5.33726221437836	100148.953209875	13.1484401748047	3.80154285666179	35.2365579249268	370.464494266113	66.5917552376709	0.730166761577837	1.33356517296551	5.42210932528246
1983-05-15 00:00:00	-1.64218751022339	-3.2025325340538	100081.0048235	14.334290300293	1.38883661324931	85.3754192910156	352.167723460938	60.6008928822632	0.675611337795415	1.50353642570468	3.59482184002893
1983-05-16 00:00:00	-3.50119288007737	-1.33869802397919	99972.07679425	16.1823510551758	0	94.8516402878418	360.475861969727	53.1875544624024	0.635577500242784	1.44627630390716	3.82188761287715
1983-05-17 00:00:00	-4.8464048631363	-4.10916334221649	99516.51685125	14.3010005791016	18.0120858286455	17.211004659256	384.671480668457	72.6429615672607	0.717534127162801	1.02363145826892	6.54931442714389
1983-05-18 00:00:00	2.05606855381012	-4.10916334221649	98737.185845875	14.7830942392578	3.69911396855553	29.7403116636658	365.136331157715	89.9333773359375	0.734083277076962	0.809131432951523	4.64477839246775
1983-05-19 00:00:00	8.718322372612	-2.6375884431572	99245.15390975	14.7282439418946	4.51721810645554	95.3765496989746	354.410816213379	83.7210847580566	0.630550040599632	1.18988633247174	9.16396649861548
1983-05-20 00:00:00	6.68169299042511	0.152406885281084	100030.246161625	15.4265082324219	1.04671647299663	82.5046737059326	370.059431775879	69.391284355835	0.60949855427767	0.947468011542816	6.64729673227376
1983-05-21 00:00:00	5.76430795813751	2.22558716480065	100116.4549455	14.4226504853516	2.048338731167	68.6252685596924	358.397275817383	81.6450353149414	0.66312933625891	1.34131487882861	6.15598148628488
1983-05-22 00:00:00	2.01673379632759	-0.0937358458489154	100405.3942725	13.8904113839661	0	80.7356218510742	344.952505544774	78.3617148045654	0.662247179002209	1.23646361270084	2.1794266980677
1983-05-23 00:00:00	4.48797426139832	-3.87400878859329	100314.238192492	15.1693203110352	1.35722711076206	77.743596170044	353.75029540918	75.0222783614502	0.644053035871743	1.09841720141334	5.95446368745931
1983-05-24 00:00:00	4.66819605669785	-3.7730270627327	100248.9334205	15.3491022133789	0	75.7477171718751	357.720489717773	66.9273744095182	0.632038455686862	1.19579544995478	6.01435925499677
1983-05-25 00:00:00	2.20501634585571	-7.15407372931671	99997.84681975	14.998331881836	0	116.414188290894	311.901668843816	65.4959941744582	0.650631651270695	1.39257172649738	7.50770720134982
1983-05-26 00:00:00	3.96236437166596	-0.264192948246719	100127.567179446	13.2769849267578	1.39422983294071	94.7948712498779	340.727891670898	72.2160362539063	0.625536985053044	1.61073205364194	3.96556283049677
1983-05-27 00:00:00	1.8640807774334	-0.344779328144029	100793.870728125	13.2382909555664	0	98.1438266986084	328.022299858398	67.6620224561768	0.646486712832139	1.47288976230081	2.12954098446909
1983-05-28 00:00:00	-2.08155509472275	-0.556558223841668	100780.60162825	13.5219115976563	0	92.5339217310489	348.793830981934	68.7473945318767	0.598839247141214	1.30956101553261	2.10276862632642
1983-05-29 00:00:00	-0.866129782466891	-1.39956321035472	100034.604147875	12.5834333125	0	79.8778283530273	331.260358456543	69.7321899089355	0.662488960745171	1.40062012541461	1.58100380236854
1983-05-30 00:00:00	-0.543223215751889	-1.71593909370613	99530.256838	12.5278778774414	0	108.501434926025	316.959307265625	73.5162356362305	0.636527911017342	1.32305817887122	1.77163012524928
1983-05-31 00:00:00	-0.833274984768801	-7.54844344813538	98767.6206417088	11.6115880512696	15.9364841028303	47.2487778864746	346.665100761231	73.221930755249	0.684207157720064	1.28180393760918	7.53434909259302
1984-02-01 00:00:00	-2.25800685863107	2.82339706861115	99827.157096625	20.8310875981446	0	363.73428160791	325.307262571777	51.7722999805908	0.720896716285266	5.79901069594874	3.46078279174673
1984-02-02 00:00:00	-1.40304270073891	0.473368660962581	99547.453095375	23.7442421953125	0	355.232343254394	334.346846587891	40.7787892573187	0.711068250006935	6.7728132454387	1.33934846987913
1984-02-03 00:00:00	0.479699232409	-0.555556890685689	99206.661011875	24.6584472827149	0	277.7200120625	357.76808685498	38.7910839208984	0.770031722734776	6.85855252803841	0.998653631255022
1984-02-04 00:00:00	-0.486970985204508	2.38013806897736	98953.062188875	23.9017735874076	0	341.527762911492	347.700449923828	55.3762569658203	0.703613013746676	6.87769233452356	2.37416706506678
1984-02-05 00:00:00	-1.35180950336361	-2.47243117750931	98686.221557375	30.4035366918946	0	341.522682895019	372.285573430664	32.1203759171753	0.668768855664736	7.38641125465613	2.81635444888381
1984-02-06 00:00:00	-0.84357031559086	-3.78343283594894	98604.411537	28.4597408305664	0	302.192933667969	390.147009949219	31.820512325531	0.686679597107559	7.06638941421151	3.85088141398193
1984-02-07 00:00:00	-3.60148310299955	-3.54558407149887	98673.573717	23.6495935844727	17.8777587794512	223.909895899414	403.859519570801	55.0590029696655	0.77073006777631	6.50852229987873	5.15601314549858
1984-02-08 00:00:00	-1.53678217201042	3.89178740628433	98366.878818375	19.293872241211	24.9105636389449	96.6199584036865	417.547094822754	94.1764439384766	0.88172893541069	3.2209291730153	4.15702595811541
1984-02-09 00:00:00	2.5432823522377	8.34781740300877	99014.510658625	14.2808651113281	6.26505527916848	161.967639412854	371.443528605469	80.639809397583	0.862131974074178	4.18467868484528	8.9921756034496
1984-02-10 00:00:00	1.77342099879646	4.27394566396713	98832.934599625	13.5658008833008	10.0085894948445	253.864138132568	340.041868199219	76.0778914452405	0.804634412735115	2.89269561855898	4.66575773164253
1984-02-11 00:00:00	4.32105522624588	0.234150294841412	98858.6611746786	14.5647144411883	2.45773656831672	229.751015168945	343.098879838867	66.5640706364746	0.82106307173602	3.25662398800158	4.35795104563482
1984-02-12 00:00:00	2.75732010649872	-2.36850204722213	98849.815377875	18.2869332231446	0	239.223804144775	340.947726490723	60.8003061676636	0.813324326190972	4.07613773042041	3.71248741765415
1984-02-13 00:00:00	2.77329630267716	-0.352265991328524	98442.230548375	21.5092399931641	0	318.662016034668	344.039395672852	58.189525177124	0.712007783926777	6.74821488678504	2.96113150484507
1984-02-14 00:00:00	-0.746454551115037	3.27836997192764	98787.429278875	18.3013570292969	25.4959319075703	262.593189443848	366.546684807129	68.2604415474854	0.760908240519859	3.96670446853753	3.31115069398972
1984-02-15 00:00:00	5.56736415442128	0.798844531775474	98524.58404525	16.9794920708008	3.5611461458657	147.484175895264	371.168496025879	77.2500770542414	0.873232730224406	4.05366608879859	5.59009068187872
1984-02-16 00:00:00	6.82793715458961	5.2321426743393	99369.71761725	16.7991366059158	0	265.272942630859	356.64216089502	53.4139542122192	0.765879119919715	2.76435704720324	8.60795979023341
1984-02-17 00:00:00	0.685336592787263	1.87734286370659	99620.376653125	16.4947865932617	0	265.300808829346	336.507544253906	65.0388093060303	0.785051606765464	3.65932353693356	2.07623558480556
1984-02-18 00:00:00	3.43479228567123	0.000481254297018882	99181.67833325	18.5192162241211	0	304.708801177246	339.950442540527	66.7744689989014	0.727668994522644	5.05347590890423	3.54343846880261
1984-02-19 00:00:00	-0.779473785096168	2.55956429603005	99499.82899775	16.8772969458008	0	273.30647109985	326.869117736328	66.4205176025391	0.783936220957606	3.6239813369665	2.58190794265326
1984-02-20 00:00:00	1.47274895129585	-2.28994887611174	98915.789154	20.6673935429661	0	234.447939690674	369.7365100952	64.4266161022339	0.778025027547863	4.96921402033987	2.89102954129848
1984-02-21 00:00:00	4.69133691637421	4.47256967938614	99239.78485675	15.2537701230469	0	252.053445031006	345.931239888672	68.2604415474854	0.784314846478908	4.10008299203854	6.51630656436678
1984-02-22 00:00:00	2.51939240498734	6.11184418883515	99822.434687875	14.2493735180664	0	258.040716504394	331.875772592774	56.3887519741211	0.79053381122104	3.0652438650646	6.63015630803106
1984-02-23 00:00:00	2.08465557744789	5.92653321936035	99823.808059	16.6000881123047	2.37018582280325	128.382625811401	382.011050589355	73.5076108358251	0.873002496517598	2.365980307801	6.26398100918889
1984-02-24 00:00:00	-0.127595621785404	7.76475624779511	99617.24679825	15.1793247871094	0	194.036186966309	367.201844058802	72.5801570319824	0.819631078357409	3.32293776877658	7.81067969641318
1984-02-25 00:00:00	-0.871624112318946	6.8987917708664	99339.409397	15.0030841616211	0	145.479645474609	380.107549055664	70.0262581524658	0.856244936985728	2.20119456071388	6.79579067002364
